"구분(1)",2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023
"구분(1)",도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구),도로연장(km),면적(㎢),인구(천명),자동차(천대),면적당 도로연장(㎞/㎢),인구당 도로연장(km/천명),자동차당 도로연장(km/천대),국도계수당 도로보급률(km/√면적*인구)
"대전",2067,540,1528,621,3.8277777778,1.3527486911,3.3285024155,2.2755266157,2077,539.3,1518.8,633,3.8512887076,1.367526995,3.2812006319,2.294938185,2116,539.3,1514.4,648.1,3.9236046727,1.3972530375,3.2649282518,2.3414244696,2136,539.5,1502.2,659.6,3.96,1.42,3.24,2.37,2140,539.5,1490,670,3.97,1.44,3.19,2.39,2142,539.5,1475,674,3.97,1.45,3.18,2.4,2146,539.5,1464,686,4,1.5,3.1,2.4,2226,539.7,1464,692.7,4.1,1.5,3.2,2.5,2232,540,1446,708,4.1,1.5,3.2,2.5,2239,540,1442.2,723,4.15,1.55,3.1,2.54
"세종",400,465,175,68,0.8602150538,2.2857142857,5.8823529412,1.4022146188,401,464.9,210.9,93.1,0.8625510863,1.9013750593,4.3071965628,1.2806377797,404,464.9,243,110.4,0.8690040869,1.6625514403,3.6594202899,1.2019833594,402,464.9,280.1,129.7,0.86,1.44,3.1,1.11,402,464.9,314,148,0.86,1.28,2.72,1.05,403,464.9,341,163,0.87,1.18,2.47,1.01,423,464.9,356,175,0.9,1.2,2.4,1,423,464.9,356,185,0.9,1.2,2.3,1,423,465,384,194,0.9,1.1,2.2,1,423,465,386.5,198,0.91,1.09,2.14,1
"충북",6645,7406,1579,700,0.8972454766,4.2083597213,9.4928571429,1.9431756802,6858,7407.1,1584,730.1,0.9258684235,4.3295454545,9.3932338036,2.0021462046,6870,7407.3,1591.6,760.7,0.9274634482,4.3164111586,9.0311555147,2.0008282228,6891,7407.7,1595.4,787.2,0.93,4.32,8.75,2,6943,7407.7,1599,815,0.94,4.34,8.52,2.02,6929,7407.8,1600,838,0.94,4.33,8.27,2.01,6898,7407.8,1601,866,0.9,4.3,8,2,6915,7407,1601,892.3,0.9,4.3,7.7,2,6913,7407,1595,916,0.9,4.3,7.6,2,6945,7407,1593.5,936,0.94,4.36,7.42,2.02
"충남",6892,8204,2064,925,0.8400780107,3.3391472868,7.4508108108,1.6748564745,7096,8213.7,2077.6,969.2,0.863922471,3.4154793993,7.3215022699,1.7177629063,7122,8226.1,2096.7,1015.2,0.8657808682,3.3967663471,7.0153664303,1.7148922173,7234,8226.4,2116.8,1057.6,0.88,3.42,6.84,1.73,7160,8226.4,2126,1094,0.87,3.37,6.54,1.71,7168,8229.2,2124,1118,0.87,3.37,6.41,1.71,7612,8229.2,2121,1150,0.9,3.6,6.6,1.8,7588,8246.2,2121,1176.4,0.9,3.6,6.5,1.8,7641,8247,2123,1211,0.9,3.6,6.3,1.8,7752,8248,2130.1,1246,0.94,3.64,6.23,1.85
