행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,9,12,8,9,15,19,20,22,483,16,8,532,2352
경기도 수원시,13,17,14,11,19,26,29,27,1913,178,64,20185,69067
경기도 성남시,11,16,13,10,17,25,28,26,1825,129,45,10848,47386
경기도 안양시,12,17,14,12,17,25,28,28,1009,64,50,6474,29276
경기도 부천시,12,16,13,10,17,24,27,24,1155,105,67,10934,41572
경기도 광명시,12,16,13,11,17,25,28,27,533,32,67,3795,19063
경기도 평택시,13,16,13,12,14,24,27,28,655,50,66,7768,29706
경기도 안산시,12,16,14,11,16,24,27,26,919,86,75,8336,35622
경기도 과천시,10,16,14,10,12,25,30,23,72,4,82,353,2799
경기도 오산시,14,16,15,12,17,25,31,29,261,13,102,6222,16320
경기도 시흥시,14,16,13,12,17,24,28,28,652,34,77,5821,27185
경기도 군포시,13,15,13,12,18,25,28,29,410,34,69,3650,15530
경기도 의왕시,12,15,13,11,16,24,27,25,172,6,71,1614,7397
경기도 하남시,14,17,13,9,18,25,28,21,269,9,84,2917,14275
경기도 용인시,14,17,14,12,17,26,30,29,1821,54,67,17554,68419
경기도 이천시,12,15,13,11,14,23,27,25,354,25,66,2754,13080
경기도 안성시,11,13,12,12,13,20,27,26,210,19,82,2481,10821
경기도 김포시,15,17,14,12,17,25,30,27,648,36,71,10257,28484
경기도 화성시,14,17,15,14,16,25,31,31,1212,53,77,17380,58143
경기도 광주시,12,18,14,12,17,26,29,26,396,8,78,2959,18814
경기도 여주시,11,12,10,10,13,18,24,21,110,10,77,1191,5526
경기도 양평군,9,12,8,8,12,19,21,21,85,3,83,618,5272
경기도 의정부시,12,17,14,11,16,25,28,26,666,49,61,5120,22370
경기도 동두천시,10,15,13,10,12,23,26,22,89,7,75,733,5179
경기도 고양시,12,17,14,11,16,25,29,27,1864,136,57,14242,54797
경기도 구리시,12,16,14,11,19,24,30,27,343,20,58,2493,10151
경기도 남양주시,13,18,14,12,17,25,29,27,864,54,84,10540,43187
경기도 파주시,13,16,15,12,17,23,30,28,536,37,88,7593,28569
경기도 양주시,11,15,15,13,13,22,29,30,236,9,99,2880,13088
경기도 포천시,10,12,10,10,11,19,22,22,131,9,100,1164,7046
