행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
강원특별자치도 강릉시,9,12,12,9,15,18,26,22,374,46,46,1517,9526
강원특별자치도 동해시,11,13,10,9,15,20,23,21,121,18,69,1026,4844
강원특별자치도 태백시,5,9,8,7,9,15,22,20,48,8,79,195,2008
강원특별자치도 속초시,11,13,12,10,18,20,25,23,106,8,76,491,3882
강원특별자치도 삼척시,9,9,6,6,14,14,16,18,57,7,80,669,2587
강원특별자치도 홍천군,7,6,7,8,11,11,19,22,69,5,70,523,2500
강원특별자치도 횡성군,7,7,5,7,11,11,13,18,40,0,72,245,1528
강원특별자치도 영월군,6,6,4,5,8,11,11,16,35,1,59,199,1212
강원특별자치도 평창군,7,6,6,6,9,10,17,17,29,1,94,205,1361
강원특별자치도 정선군,5,6,6,5,8,10,15,15,20,0,125,206,1341
강원특별자치도 철원군,8,8,9,7,14,13,21,19,49,2,79,283,1958
강원특별자치도 화천군,6,6,6,6,8,10,17,18,19,0,95,204,1016
강원특별자치도 양구군,8,6,6,8,11,11,15,19,18,0,104,153,973
강원특별자치도 인제군,6,7,6,6,10,12,17,17,24,1,106,278,1420
강원특별자치도 고성군,7,6,5,5,10,10,13,16,11,0,139,133,965
강원특별자치도 양양군,6,6,7,8,9,10,17,21,16,1,116,182,942
경상남도 창원시,11,14,12,9,19,22,25,22,1779,180,52,14996,58133
경상남도 진주시,10,14,11,8,18,21,24,21,807,69,35,4110,20105
경상남도 통영시,9,13,10,10,16,20,22,23,209,11,60,1267,7736
경상남도 사천시,9,12,10,7,13,20,22,18,186,14,43,733,5980
경상남도 김해시,12,15,13,11,20,22,27,28,1043,83,60,8414,35114
경상남도 밀양시,9,10,10,8,15,17,24,20,134,7,44,890,3899
경상남도 거제시,11,15,13,12,19,22,26,29,400,29,73,4682,18679
경상남도 양산시,11,15,13,12,19,22,28,30,559,38,62,7374,22471
경상남도 의령군,6,4,6,5,10,8,16,16,16,0,66,158,705
경상남도 함안군,9,10,11,8,14,16,22,21,71,1,65,562,3269
경상남도 창녕군,8,8,7,6,12,13,18,17,47,3,60,391,2200
경상남도 고성군,4,7,7,8,7,13,18,18,63,1,52,173,2091
경상남도 남해군,6,6,6,8,11,11,17,18,41,2,52,193,1246
경상남도 하동군,4,6,5,6,6,10,16,16,30,3,81,121,1290
경상남도 산청군,4,5,7,6,8,9,17,17,18,1,110,143,900
경상남도 함양군,7,7,8,6,12,11,18,18,38,1,67,297,1364
경상남도 거창군,7,10,7,7,12,15,19,17,78,5,53,447,2896
경상남도 합천군,5,5,5,5,10,9,17,14,27,1,66,193,1098
경상북도 포항시,11,14,10,9,18,22,23,21,699,62,56,7392,27566
경상북도 경주시,12,12,10,9,17,20,22,20,301,38,52,2539,11333
경상북도 김천시,10,11,8,8,17,19,20,21,114,13,80,2014,6705
경상북도 안동시,10,12,10,8,17,20,22,21,215,25,53,1976,8096
경상북도 구미시,11,15,11,11,19,23,24,24,766,66,60,8966,27761
경상북도 영주시,9,11,7,8,13,19,19,20,151,17,39,741,4568
경상북도 영천시,9,10,6,7,14,17,17,17,74,9,66,623,3381
경상북도 상주시,9,8,5,4,15,14,16,17,85,11,55,1113,3647
경상북도 문경시,7,9,7,5,16,15,18,18,73,10,52,641,2701
경상북도 경산시,10,13,10,10,17,22,23,23,350,26,51,3771,13443
경상북도 군위군,5,5,4,6,7,9,11,20,6,0,164,59,451
경상북도 의성군,3,5,4,4,6,10,14,14,16,1,117,98,1046
경상북도 청송군,7,5,3,4,10,10,9,16,13,0,71,151,586
경상북도 영양군,4,5,4,4,7,9,13,11,7,1,104,68,466
경상북도 영덕군,7,7,4,7,8,14,12,17,26,0,71,121,1072
경상북도 청도군,7,6,2,2,11,12,10,16,25,1,46,228,1023
경상북도 고령군,6,7,4,2,9,13,12,16,18,0,78,118,1023
경상북도 성주군,5,6,4,8,8,11,12,19,25,0,67,142,1093
경상북도 칠곡군,9,12,9,8,16,19,21,21,166,5,63,1585,6731
경상북도 예천군,8,9,4,8,15,16,12,20,63,6,54,613,2212
경상북도 봉화군,6,5,4,8,9,9,14,20,12,0,184,163,905
경상북도 울진군,7,8,7,7,10,14,17,18,51,3,65,172,1839
경상북도 울릉군,8,6,6,7,11,10,19,18,1,0,867,81,264
광주광역시 동구,10,10,8,8,17,17,21,21,184,105,26,1048,3398
광주광역시 서구,10,13,11,10,18,20,23,24,620,84,40,4122,15761
광주광역시 남구,11,15,10,10,19,22,22,24,571,45,34,3619,13648
광주광역시 북구,11,13,10,10,18,20,22,24,779,132,42,5985,23034
광주광역시 광산구,12,14,12,12,19,21,25,30,855,58,55,7424,29157
대구광역시 중구,12,13,10,10,19,21,23,24,122,160,47,788,4238
대구광역시 동구,11,13,10,10,18,21,21,24,366,42,59,4782,16546
대구광역시 서구,10,10,9,9,17,19,22,23,109,27,82,1017,5257
대구광역시 남구,11,11,9,9,20,20,22,22,85,25,72,1308,4139
대구광역시 북구,11,13,10,10,20,22,22,25,594,44,59,6720,21686
대구광역시 수성구,11,14,11,10,20,24,24,24,924,64,37,5320,22847
대구광역시 달서구,11,13,11,9,20,22,24,23,913,87,51,8092,29501
대구광역시 달성군,12,13,10,10,21,22,22,25,395,11,64,5931,17094
대전광역시 동구,10,12,11,8,15,19,24,22,196,40,76,1877,10459
대전광역시 중구,10,11,12,10,16,18,25,23,227,102,70,2915,11185
대전광역시 서구,10,14,12,9,16,22,25,22,777,138,58,6851,25744
대전광역시 유성구,10,13,11,10,17,21,24,23,548,48,70,6488,22560
대전광역시 대덕구,10,10,9,9,16,17,21,21,197,21,66,2274,7936
부산광역시 중구,8,13,9,9,13,20,21,21,24,23,266,137,1241
부산광역시 서구,10,12,12,8,18,19,25,21,112,3,60,814,3731
부산광역시 동구,11,13,10,8,19,21,23,19,45,22,100,793,2499
부산광역시 영도구,9,10,9,8,16,17,21,19,68,2,80,688,3630
부산광역시 부산진구,11,14,11,7,20,21,24,19,411,193,53,4216,15154
부산광역시 동래구,11,16,14,10,20,23,27,25,621,51,37,3133,13161
부산광역시 남구,11,15,12,9,19,23,26,21,341,51,58,2965,12284
부산광역시 북구,11,14,10,9,19,21,23,22,348,22,63,3802,12425
부산광역시 해운대구,10,15,13,10,19,23,25,24,653,35,50,4187,19536
부산광역시 사하구,10,14,11,10,19,21,24,23,373,33,50,3259,13558
부산광역시 금정구,10,15,12,8,19,22,25,21,354,51,44,2326,9474
부산광역시 강서구,13,16,12,9,21,24,25,24,331,16,48,3481,11429
부산광역시 연제구,11,15,12,9,21,23,24,24,299,37,45,1617,9465
부산광역시 수영구,10,15,12,10,20,22,25,22,239,25,37,1731,6105
부산광역시 사상구,10,13,10,9,18,20,22,22,131,26,89,2437,7617
부산광역시 기장군,11,15,13,12,18,23,25,27,310,15,65,3065,12612
서울특별시 종로구,11,11,8,7,19,18,21,19,91,126,72,1077,5072
서울특별시 중구,10,12,7,7,17,20,17,18,47,44,133,1002,4808
서울특별시 용산구,11,11,10,8,21,19,22,21,116,21,86,1351,6656
서울특별시 성동구,11,11,10,7,18,19,22,18,247,43,69,1978,10555
서울특별시 광진구,10,14,12,10,18,22,25,23,364,62,60,2237,13742
서울특별시 동대문구,11,14,11,9,19,21,23,22,308,51,58,2596,12792
서울특별시 중랑구,10,13,12,9,16,20,23,22,232,25,97,2658,13862
서울특별시 성북구,10,14,12,9,19,22,25,23,430,21,63,4208,19628
서울특별시 강북구,9,13,12,9,15,21,23,22,187,23,80,1199,9412
서울특별시 도봉구,9,14,10,9,18,20,22,21,268,17,82,2115,13952
서울특별시 노원구,11,14,12,9,18,20,23,21,636,48,63,5466,24692
서울특별시 은평구,11,14,12,10,17,21,24,22,472,37,58,3196,19730
서울특별시 서대문구,11,14,11,9,20,22,23,23,287,55,58,2257,12940
서울특별시 마포구,11,13,12,10,20,21,24,25,499,193,41,2711,13888
서울특별시 양천구,10,15,13,10,18,23,26,24,947,32,42,3769,23469
서울특별시 강서구,11,14,11,9,19,21,23,20,649,48,53,4786,24896
서울특별시 구로구,11,13,11,10,18,20,23,24,345,41,86,2693,17290
서울특별시 금천구,10,11,10,9,16,18,21,21,175,33,70,1423,8050
서울특별시 영등포구,11,13,11,9,20,20,23,22,315,125,77,3356,13776
서울특별시 동작구,11,14,11,10,20,22,23,23,345,142,65,2661,15174
서울특별시 관악구,10,12,11,9,16,20,23,22,336,98,64,2682,13550
서울특별시 서초구,10,16,13,10,18,25,27,24,876,270,41,2321,22345
서울특별시 강남구,9,15,13,9,17,25,28,22,1898,485,21,2938,25829
서울특별시 송파구,11,14,12,9,20,22,25,22,963,82,52,5073,31235
서울특별시 강동구,13,14,12,9,21,21,24,20,614,40,51,4205,22092
울산광역시 중구,12,15,11,9,17,22,25,22,396,48,51,2527,11709
울산광역시 남구,13,15,12,9,20,22,25,22,861,99,35,4037,15944
울산광역시 동구,13,15,11,9,19,23,24,22,252,12,65,2104,10381
울산광역시 북구,14,15,12,10,21,23,25,24,396,22,70,4542,15986
울산광역시 울주군,11,14,11,11,16,21,24,27,361,14,62,2661,12899
인천광역시 강화군,8,15,13,7,10,21,26,19,124,12,103,436,8604
인천광역시 옹진군,9,13,9,2,9,20,19,9,39,4,100,89,3371
인천광역시 중구,12,15,13,8,16,22,26,21,327,55,80,2141,17268
인천광역시 동구,11,16,14,8,16,23,28,21,663,25,60,810,25911
인천광역시 미추홀구,12,16,14,9,19,23,27,22,685,76,66,3634,28231
인천광역시 연수구,12,14,12,11,20,21,25,26,558,91,72,6261,22735
인천광역시 남동구,12,14,12,11,19,21,24,25,350,25,76,7559,13579
인천광역시 부평구,11,16,14,9,17,22,28,22,787,29,69,4744,32698
인천광역시 계양구,11,8,8,10,17,13,20,23,48,2,184,2514,2318
인천광역시 서구,13,6,4,11,18,9,10,26,4,0,2516,7982,556
전라남도 목포시,9,15,12,8,15,22,25,22,421,41,47,3066,14710
전라남도 여수시,8,12,10,9,14,19,25,23,466,34,48,2890,14170
전라남도 순천시,8,14,12,9,15,21,27,22,480,55,56,3474,16457
전라남도 나주시,7,11,7,6,15,18,19,18,149,20,62,1674,6316
전라남도 광양시,6,13,10,9,12,20,24,23,231,17,65,1115,9004
전라남도 담양군,6,7,6,7,12,12,16,18,14,2,173,304,1464
전라남도 곡성군,4,6,8,6,9,11,20,18,20,0,76,142,819
전라남도 구례군,4,6,6,6,9,11,18,20,22,1,72,146,868
전라남도 고흥군,4,6,5,7,8,11,15,19,46,2,72,222,1766
전라남도 보성군,3,5,5,6,5,10,15,19,22,1,87,131,1196
전라남도 화순군,5,9,8,9,10,14,20,22,71,4,64,370,2568
전라남도 장흥군,5,6,5,6,9,11,16,18,30,2,84,221,1369
전라남도 강진군,3,6,5,6,7,10,15,19,27,0,88,112,1207
전라남도 해남군,7,7,7,4,12,13,19,10,52,8,76,453,2554
전라남도 영암군,5,8,6,7,11,14,16,18,46,0,87,346,2356
전라남도 무안군,7,12,10,8,14,18,25,20,198,12,42,855,5436
전라남도 함평군,2,6,5,6,5,11,15,19,15,1,123,55,937
전라남도 영광군,6,9,7,7,12,14,19,19,64,3,51,333,2081
전라남도 장성군,7,7,7,6,12,13,19,20,34,1,86,436,1834
전라남도 완도군,6,7,5,6,11,12,15,19,36,1,102,508,2079
전라남도 진도군,5,6,3,1,11,11,12,5,21,0,61,240,1111
전라남도 신안군,4,4,3,4,8,7,10,12,7,0,243,183,927
전북특별자치도 전주시,9,14,12,11,16,23,27,26,3480,395,22,8961,39216
전북특별자치도 군산시,8,12,12,12,15,20,26,26,3480,395,8,3272,15273
전북특별자치도 익산시,8,11,11,11,14,18,24,23,3480,395,8,3332,14062
전북특별자치도 정읍시,8,8,8,8,12,14,20,19,3480,395,2,946,4761
전북특별자치도 남원시,5,8,8,7,8,14,19,18,3480,395,2,376,3512
전북특별자치도 김제시,7,6,8,6,10,11,20,18,3480,395,1,666,3315
전북특별자치도 완주군,8,9,8,8,13,15,20,19,3480,395,2,1153,4496
전북특별자치도 진안군,3,5,3,5,7,9,10,15,3480,395,0,110,850
전북특별자치도 무주군,7,6,6,5,10,12,15,16,3480,395,0,161,913
전북특별자치도 장수군,3,6,5,4,8,11,13,14,3480,395,0,113,861
전북특별자치도 임실군,3,4,3,6,7,8,11,21,3480,395,0,129,874
전북특별자치도 순창군,5,4,6,7,8,8,16,18,3480,395,0,172,966
전북특별자치도 고창군,5,6,6,7,9,11,17,16,3480,395,1,278,2001
전북특별자치도 부안군,6,6,5,6,10,10,15,17,3480,395,1,353,1814
제주특별자치도 제주시,14,15,12,10,22,23,26,25,829,61,59,5021,31660
제주특별자치도 서귀포시,14,11,10,8,17,19,24,23,197,8,82,1256,9668
충청남도 천안시,10,15,14,12,18,23,29,29,1169,95,59,9490,41520
충청남도 공주시,9,9,8,8,13,15,21,22,100,13,75,1024,4193
충청남도 보령시,8,8,9,9,14,14,22,21,112,8,66,899,4342
충청남도 아산시,10,15,13,12,17,22,27,29,383,24,95,5250,22525
충청남도 서산시,10,13,10,9,16,21,26,23,206,21,79,1838,10387
충청남도 논산시,7,9,8,8,12,15,20,18,105,17,68,614,5223
충청남도 계룡시,11,15,12,10,18,22,27,25,49,4,125,687,2887
충청남도 당진시,9,13,10,9,17,20,25,22,196,19,70,1448,10465
충청남도 금산군,5,7,7,7,10,12,21,18,33,3,112,275,1990
충청남도 부여군,5,6,6,7,10,11,19,19,46,5,84,421,2172
충청남도 서천군,4,6,6,7,8,11,19,19,41,4,66,184,1694
충청남도 청양군,5,6,7,7,9,10,18,18,11,1,176,174,915
충청남도 홍성군,9,12,10,9,16,19,24,22,129,14,71,1437,5486
충청남도 예산군,6,7,9,9,11,13,22,20,65,5,74,483,2792
충청남도 태안군,6,7,7,7,10,12,19,17,46,2,88,332,2180
충청북도  청주시,9,14,12,11,16,22,26,26,2056,212,40,8793,50105
충청북도  충주시,10,11,10,8,15,18,23,21,2056,212,7,2191,10020
충청북도  제천시,9,11,9,10,14,18,21,22,2056,212,5,1438,6077
충청북도  보은군,6,5,5,5,10,9,15,21,2056,212,0,263,1053
충청북도  옥천군,8,8,7,9,13,14,19,22,2056,212,1,432,2003
충청북도  영동군,5,7,7,7,10,12,16,19,2056,212,1,246,1552
충청북도  증평군,8,13,10,7,14,21,20,19,2056,212,1,247,2042
충청북도  진천군,9,13,10,9,14,20,22,22,2056,212,4,862,5357
충청북도  괴산군,6,5,4,8,8,9,14,23,2056,212,0,159,1023
충청북도  음성군,8,9,8,9,13,16,19,21,2056,212,3,849,4156
충청북도  단양군,5,5,5,9,6,10,16,21,2056,212,1,96,875
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0
전북특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0
제주특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
