행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,5,11,9,9,12,17,19,22,767,33,4,300,1397
경기도 수원시,11,16,13,10,18,24,29,24,1864,167,62,15710,65671
경기도 성남시,10,15,12,10,16,24,28,24,1776,118,44,8306,45058
경기도 안양시,10,16,13,10,17,24,28,24,921,77,49,5171,26687
경기도 부천시,11,15,12,9,16,24,27,23,1150,106,61,8832,37862
경기도 광명시,10,14,12,10,14,23,28,24,497,30,63,2717,16124
경기도 평택시,11,15,14,12,16,23,29,26,681,64,71,7241,32911
경기도 안산시,12,16,13,9,17,23,27,21,827,95,74,6567,32594
경기도 과천시,11,17,13,9,18,25,28,21,82,1,78,451,3543
경기도 오산시,11,16,15,12,16,24,32,27,288,13,98,4634,16340
경기도 시흥시,12,16,13,11,17,24,27,26,774,37,74,6231,32306
경기도 군포시,11,14,12,11,16,23,27,24,390,34,65,2543,13915
경기도 의왕시,10,14,12,9,15,23,26,21,173,10,70,1212,7294
경기도 하남시,12,17,13,9,16,26,28,23,388,15,76,2908,18476
경기도 용인시,13,16,14,12,17,25,30,28,1859,62,66,13828,68048
경기도 이천시,10,15,12,9,14,22,26,23,362,28,62,2050,12678
경기도 안성시,11,12,12,10,15,20,26,23,204,23,82,2252,10378
경기도 김포시,13,17,14,12,18,25,31,28,845,39,67,10287,35537
경기도 화성시,11,16,15,13,17,24,32,30,1569,62,72,17417,68101
경기도 광주시,11,16,13,10,16,25,29,24,408,14,82,2615,20505
경기도 여주시,9,11,9,8,12,18,24,19,113,7,70,996,5178
경기도 양평군,8,11,8,7,10,18,21,20,97,7,70,525,5036
경기도 의정부시,10,16,13,10,16,24,27,23,672,40,59,4395,22279
경기도 동두천시,8,15,12,8,11,22,24,18,87,5,69,418,4618
경기도 고양시,11,16,13,10,16,24,28,24,1873,130,54,12656,54368
경기도 구리시,11,15,13,10,16,24,28,24,357,18,51,1868,9562
경기도 남양주시,11,16,13,11,16,24,29,25,1047,32,73,9352,44845
경기도 파주시,12,15,14,12,17,23,30,27,621,41,80,6486,29914
경기도 양주시,10,14,14,11,15,22,28,27,263,15,96,2764,14037
경기도 포천시,10,10,9,8,13,17,22,19,111,13,100,951,6007
경기도 연천군,9,8,6,6,12,13,19,15,33,0,99,358,1695
경기도 가평군,7,10,9,7,9,15,22,19,21,4,223,239,2345
강원특별자치도 춘천시,10,13,11,10,17,20,25,25,399,41,61,2882,14834
강원특별자치도 원주시,11,13,11,11,16,20,25,26,552,62,57,4293,19476
