행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
경상북도 영양군,6,6,3,4,9,10,10,13,6,0,131,103,510
경상북도 영덕군,6,8,4,7,8,14,13,18,28,0,71,137,1139
경상북도 청도군,9,7,3,2,13,13,10,9,26,1,48,282,1123
경상북도 고령군,8,8,4,2,10,14,12,9,20,0,76,168,1127
경상북도 성주군,7,6,4,9,11,11,13,21,26,0,70,188,1214
경상북도 칠곡군,10,12,10,9,16,19,22,23,170,3,63,1689,7082
경상북도 예천군,8,9,4,9,13,15,13,18,57,3,51,512,1870
경상북도 봉화군,6,5,4,9,8,10,14,18,12,0,172,178,956
경상북도 울진군,8,8,7,8,12,14,18,19,48,2,74,252,1973
경상북도 울릉군,9,6,2,8,13,11,9,19,2,0,486,105,300
광주광역시 동구,10,11,8,10,17,18,19,24,172,112,27,984,3227
광주광역시 서구,11,14,11,11,17,21,23,27,667,85,40,4486,17016
광주광역시 남구,12,15,9,11,19,22,22,27,530,43,37,3691,13419
광주광역시 북구,11,13,10,11,17,21,22,27,785,138,43,6285,23940
광주광역시 광산구,13,15,12,13,18,23,24,31,877,63,56,7806,31388
대구광역시 중구,12,13,9,11,18,22,22,27,139,173,42,799,4350
대구광역시 동구,12,14,9,11,17,23,21,27,360,37,62,5143,17437
대구광역시 서구,11,11,8,9,19,20,21,20,120,25,74,1164,5879
대구광역시 남구,11,11,7,9,18,20,21,20,96,30,64,1433,4417
대구광역시 북구,12,14,10,11,18,22,22,26,577,48,60,7257,22719
대구광역시 수성구,11,15,11,11,17,25,24,26,916,63,39,5499,23583
대구광역시 달서구,12,14,11,10,20,23,24,25,897,80,54,8828,31654
대구광역시 달성군,13,13,10,10,20,22,22,24,374,13,64,6062,16083
대전광역시 동구,11,13,11,9,14,20,25,23,183,33,87,2080,11381
대전광역시 중구,10,12,12,11,16,20,26,25,231,103,75,3312,12375
대전광역시 서구,11,15,12,10,17,22,26,24,739,129,63,7348,26760
대전광역시 유성구,11,14,12,10,17,22,25,25,505,44,78,7042,23402
대전광역시 대덕구,10,11,10,8,15,18,22,21,213,18,66,2350,8825
부산광역시 중구,9,13,10,8,14,20,22,21,29,27,230,163,1315
부산광역시 서구,11,13,11,10,22,20,25,23,113,4,61,910,3808
부산광역시 동구,12,13,11,8,18,20,24,20,46,22,85,768,2481
부산광역시 영도구,10,11,8,8,15,18,22,20,74,2,79,800,3948
부산광역시 부산진구,12,14,11,8,21,21,24,19,385,199,56,4750,15421
부산광역시 동래구,11,16,13,11,19,23,26,26,520,58,42,3410,12889
부산광역시 남구,12,15,12,9,18,23,25,22,302,51,66,3100,12911
부산광역시 북구,12,14,11,10,18,21,24,24,370,34,62,4051,13103
부산광역시 해운대구,11,16,12,11,19,23,25,27,660,31,52,4462,20100
부산광역시 사하구,10,15,11,10,17,22,24,25,384,35,52,3594,14643
부산광역시 금정구,11,15,12,9,20,22,24,23,337,57,48,2630,9904
부산광역시 강서구,14,16,11,9,20,24,24,24,243,8,54,3617,9321
부산광역시 연제구,12,16,11,9,22,23,23,24,263,39,52,1810,9672
부산광역시 수영구,11,16,12,10,19,21,24,25,243,26,37,2018,6128
부산광역시 사상구,10,14,10,10,18,20,23,23,146,31,82,2875,8359
부산광역시 기장군,12,16,13,12,18,24,26,28,249,12,74,3282,11586
서울특별시 종로구,11,12,9,9,18,19,22,23,90,169,79,1217,5463
서울특별시 중구,11,12,7,9,15,21,16,23,56,62,125,1122,5181
서울특별시 용산구,12,12,10,11,21,20,22,25,126,29,82,1407,7273
서울특별시 성동구,12,12,10,8,19,20,22,20,251,42,73,2264,11789
서울특별시 광진구,11,14,12,10,20,23,24,24,352,54,64,2753,14977
서울특별시 동대문구,11,14,10,8,18,22,21,19,312,56,58,3065,13684
서울특별시 중랑구,11,14,11,10,18,21,23,23,255,21,90,2947,15176
서울특별시 성북구,11,15,12,10,18,23,25,27,421,29,67,4535,21051
서울특별시 강북구,11,14,12,9,14,22,24,22,188,21,84,1376,10392
서울특별시 도봉구,11,15,11,9,19,22,21,21,303,14,80,2419,15561
서울특별시 노원구,12,15,12,10,17,22,23,23,691,49,62,6203,26994
서울특별시 은평구,12,15,12,10,16,22,24,23,485,40,61,3624,21613
서울특별시 서대문구,11,14,11,10,19,22,23,25,287,59,59,2439,12993
서울특별시 마포구,12,14,11,10,19,22,24,25,497,186,42,2609,15272
서울특별시 양천구,11,15,12,11,19,23,25,25,1000,37,41,4469,24414
서울특별시 강서구,12,15,10,9,18,22,22,21,649,44,56,5683,27134
서울특별시 구로구,11,14,12,11,19,21,23,26,352,54,84,3135,18674
