행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,10,12,9,10,17,19,21,23,249,8,24,1036,3534
경기도 수원시,14,17,15,13,20,26,30,31,1877,171,68,21223,68571
경기도 성남시,12,16,13,12,20,25,29,29,1687,106,51,11509,47233
경기도 안양시,13,17,14,13,19,25,29,31,1048,66,52,7316,30053
경기도 부천시,14,16,14,11,19,25,30,26,1161,99,71,11662,41012
경기도 광명시,15,17,13,12,22,26,28,29,524,16,73,4637,20192
경기도 평택시,13,15,14,14,16,23,28,31,624,36,68,7953,28000
경기도 안산시,14,17,15,13,19,25,29,30,937,77,83,9753,38137
경기도 과천시,14,17,15,11,19,25,31,25,73,2,100,694,3379
경기도 오산시,16,16,15,14,20,26,32,33,233,10,113,6673,15381
경기도 시흥시,14,16,15,14,19,24,29,32,561,32,89,5273,24816
경기도 군포시,14,16,14,14,22,25,29,32,396,30,77,4241,16234
경기도 의왕시,13,16,14,12,21,24,28,27,182,3,73,2004,7707
경기도 하남시,16,17,13,9,20,25,27,22,166,7,98,2302,9254
경기도 용인시,15,17,15,14,19,26,30,33,1663,49,75,18571,67099
경기도 이천시,13,14,14,12,16,22,27,29,335,25,72,2944,12741
경기도 안성시,13,13,13,13,15,20,27,29,210,16,84,2844,10688
경기도 김포시,15,16,14,13,17,24,28,29,535,24,77,8568,23614
경기도 화성시,16,17,15,16,19,25,31,35,1031,31,78,15041,49157
경기도 광주시,13,18,16,13,21,27,31,31,363,9,80,2848,17042
경기도 여주시,12,12,12,11,15,18,26,24,106,8,84,1388,5600
경기도 양평군,10,12,11,8,13,19,24,22,72,4,96,696,5029
경기도 의정부시,13,16,14,13,17,25,29,29,633,42,68,5647,21968
경기도 동두천시,12,15,13,12,15,23,26,27,88,8,79,937,5247
경기도 고양시,13,17,15,13,20,25,30,31,1816,115,62,15030,55090
경기도 구리시,14,17,15,13,22,25,31,32,317,15,66,2567,9699
경기도 남양주시,14,18,15,13,19,25,30,30,842,28,87,11143,42143
경기도 파주시,15,16,15,14,18,24,30,31,454,26,102,8016,27390
경기도 양주시,12,15,16,15,14,23,31,33,220,6,107,2895,13048
경기도 포천시,12,12,12,12,13,19,24,26,139,9,105,1399,7384
경기도 연천군,11,9,9,11,13,14,23,24,40,0,99,419,1804
경기도 가평군,12,11,11,10,12,17,23,24,58,4,97,425,2668
강원특별자치도 춘천시,11,14,13,14,21,21,28,34,418,28,63,3573,14702
강원특별자치도 원주시,13,15,13,15,21,22,27,34,537,45,61,5474,19484
강원특별자치도 강릉시,11,13,14,13,18,20,28,29,370,36,55,1964,10404
강원특별자치도 동해시,13,15,12,12,19,22,24,29,112,13,86,1362,5184
강원특별자치도 태백시,11,10,10,10,18,16,24,27,49,3,92,471,2326
강원특별자치도 속초시,12,13,13,14,19,21,27,32,116,7,84,597,4023
강원특별자치도 삼척시,13,9,7,9,18,15,17,23,68,9,83,846,2864
강원특별자치도 홍천군,11,7,9,12,14,12,20,31,81,4,77,701,2968
강원특별자치도 횡성군,12,7,5,9,16,12,14,24,45,0,75,293,1765
강원특별자치도 영월군,8,7,5,7,12,11,14,20,26,2,99,335,1457
강원특별자치도 평창군,9,7,7,9,14,12,19,23,35,1,103,379,1751
강원특별자치도 정선군,10,7,7,7,15,11,18,20,32,0,96,371,1521
강원특별자치도 철원군,9,9,10,12,14,15,23,29,52,1,99,343,2409
강원특별자치도 화천군,11,6,8,8,15,10,20,25,20,0,109,378,1159
강원특별자치도 양구군,10,7,6,11,15,12,17,28,16,0,142,165,1156
강원특별자치도 인제군,9,7,7,9,14,12,20,24,23,0,136,477,1642
