행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
대구광역시 서구,12,12,11,10,22,19,25,25,142,25,81,1398,7035
대구광역시 남구,11,13,11,10,17,20,24,33,117,32,67,1601,5392
대구광역시 북구,12,14,14,14,19,22,27,33,563,41,75,7820,25157
대구광역시 수성구,11,16,14,15,19,24,28,35,889,45,48,6316,25671
대구광역시 달서구,13,14,14,13,22,22,28,33,830,53,70,9950,34231
대구광역시 달성군,12,13,12,13,20,20,26,32,257,7,69,3835,10793
대전광역시 동구,12,14,13,14,19,21,28,31,194,34,93,2967,12563
대전광역시 중구,12,13,13,17,20,21,29,37,256,95,79,4026,14086
대전광역시 서구,13,16,13,13,19,23,29,33,754,97,70,8180,28324
대전광역시 유성구,14,15,13,14,20,23,29,34,480,39,89,7627,23742
대전광역시 대덕구,12,12,13,12,19,20,27,28,247,14,73,3121,10749
부산광역시 중구,9,14,13,12,19,20,27,28,33,25,269,152,1612
부산광역시 서구,13,13,13,12,24,20,28,28,103,5,80,1130,3994
부산광역시 동구,13,12,12,11,23,19,25,27,42,28,113,936,2812
부산광역시 영도구,12,12,11,11,20,18,26,25,80,1,91,1062,4455
부산광역시 부산진구,13,14,14,10,23,21,28,25,372,176,66,5524,16291
부산광역시 동래구,13,16,15,15,23,23,29,33,468,51,51,3956,12216
부산광역시 남구,13,15,15,12,23,22,29,28,273,52,81,3258,12638
부산광역시 북구,12,14,13,14,23,21,27,32,357,39,78,4213,13956
부산광역시 해운대구,12,15,15,15,22,22,29,34,602,35,67,5379,21695
부산광역시 사하구,12,14,15,15,21,21,29,30,404,36,56,4617,15315
부산광역시 금정구,12,14,15,12,23,21,28,28,348,47,53,2961,10212
부산광역시 강서구,13,12,11,10,21,20,25,24,154,4,47,1752,4323
부산광역시 연제구,12,15,14,10,21,22,27,24,247,36,59,1636,9610
부산광역시 수영구,13,15,12,15,24,22,25,32,252,23,41,2127,6588
부산광역시 사상구,11,13,12,12,22,20,26,27,158,23,92,3417,9251
부산광역시 기장군,14,16,15,14,22,24,28,33,183,9,85,3055,9315
서울특별시 종로구,13,12,12,14,20,21,26,32,97,164,88,1238,6084
서울특별시 중구,12,13,10,14,17,23,21,32,60,66,140,1204,5739
서울특별시 용산구,12,13,13,14,22,22,25,31,129,34,94,1753,8210
서울특별시 성동구,13,13,13,13,22,22,26,29,240,35,85,2548,12641
서울특별시 광진구,13,15,14,15,23,23,29,33,389,57,67,3199,15760
서울특별시 동대문구,12,15,13,11,20,23,26,25,297,52,70,3437,14916
서울특별시 중랑구,12,14,14,13,21,22,28,28,282,15,96,3325,16472
서울특별시 성북구,13,15,14,13,22,24,29,31,405,28,78,5440,23306
서울특별시 강북구,13,14,15,12,22,24,29,26,206,21,93,2103,11879
서울특별시 도봉구,13,15,14,11,19,23,28,26,353,13,83,3035,17408
서울특별시 노원구,13,15,15,13,20,23,29,31,734,46,72,7364,31048
서울특별시 은평구,13,15,14,12,18,24,28,27,483,32,71,4600,23918
서울특별시 서대문구,12,14,14,12,21,23,27,27,256,45,70,2571,13171
서울특별시 마포구,13,14,14,12,22,23,28,27,412,153,58,3132,17117
서울특별시 양천구,12,16,15,14,20,24,30,32,1002,29,46,5168,25237
서울특별시 강서구,12,15,13,11,20,23,26,25,673,33,58,5643,27960
서울특별시 구로구,13,14,13,14,22,23,27,32,332,61,101,3568,19363
서울특별시 금천구,13,13,12,12,18,22,25,27,175,34,84,1763,9610
서울특별시 영등포구,12,13,14,12,22,22,28,28,308,139,93,4013,15078
서울특별시 동작구,13,15,14,13,20,25,28,29,355,90,77,3706,17474
서울특별시 관악구,13,14,13,11,21,23,27,25,361,85,78,4549,17747
서울특별시 서초구,13,17,15,13,23,27,29,31,902,279,43,3097,22817
서울특별시 강남구,12,15,13,15,22,25,28,33,1688,508,25,4213,24007
서울특별시 송파구,13,15,15,13,22,24,29,29,1029,71,55,6027,32093
서울특별시 강동구,15,15,13,11,22,24,27,25,691,40,48,4698,21620
울산광역시 중구,16,15,14,13,22,22,29,31,419,32,55,3321,11998
울산광역시 남구,14,15,15,14,22,23,29,33,998,89,39,4733,17435
울산광역시 동구,16,15,13,12,22,22,26,28,271,15,59,2884,9750
울산광역시 북구,16,16,13,13,22,23,27,31,333,15,78,4543,13120
울산광역시 울주군,14,14,14,14,19,21,27,34,362,8,63,3696,13831
인천광역시 강화군,11,16,15,9,13,22,30,22,69,12,159,628,7415
인천광역시 옹진군,11,15,12,4,12,22,25,12,46,1,112,152,4315
인천광역시 중구,13,16,15,12,16,23,31,28,305,56,90,2008,17369
인천광역시 동구,13,17,16,12,18,24,32,28,470,26,68,1030,19106
인천광역시 미추홀구,14,16,16,12,19,24,30,28,528,66,94,4453,28812
인천광역시 연수구,14,15,15,14,21,22,30,29,587,81,86,4622,27353
인천광역시 남동구,14,15,15,13,19,23,30,29,346,27,101,9428,17682
인천광역시 부평구,14,16,16,12,21,23,31,29,515,21,114,6721,31906
인천광역시 계양구,14,9,10,13,22,13,22,30,48,1,260,4150,2524
인천광역시 서구,16,7,6,15,21,10,13,33,4,0,2611,9197,617
전라남도 목포시,13,16,15,12,17,25,29,28,515,34,44,3846,15755
전라남도 여수시,12,14,14,14,15,21,29,32,567,30,47,3282,15461
전라남도 순천시,10,15,15,13,15,23,30,30,491,48,61,3616,16951
전라남도 나주시,10,10,7,8,14,16,20,17,65,3,84,794,3718
전라남도 광양시,11,13,14,14,14,21,29,32,263,12,65,1687,9083
전라남도 담양군,10,7,8,10,15,13,21,27,15,1,176,384,1398
전라남도 곡성군,8,8,11,11,10,14,25,28,23,2,92,165,1046
전라남도 구례군,11,7,8,11,13,11,22,29,22,0,95,224,1064
전라남도 고흥군,8,8,7,12,11,13,20,27,51,1,87,339,2204
전라남도 보성군,8,6,8,11,9,11,20,25,34,1,78,267,1475
전라남도 화순군,11,10,11,15,13,17,24,33,91,2,70,506,3269
전라남도 장흥군,10,8,8,10,12,13,21,26,26,0,129,337,1606
전라남도 강진군,7,7,7,11,9,12,19,27,30,0,100,173,1444
전라남도 해남군,11,8,10,7,13,15,25,14,58,5,88,586,3072
전라남도 영암군,11,10,8,10,14,16,20,24,48,1,103,554,2738
전라남도 무안군,11,12,12,11,14,19,27,23,108,5,65,839,4341
전라남도 함평군,8,7,6,7,10,12,18,20,18,2,103,151,1080
전라남도 영광군,10,9,8,12,13,15,21,31,58,3,68,447,2329
전라남도 장성군,13,9,8,12,16,15,22,30,37,1,91,650,1976
전라남도 완도군,12,7,7,8,14,13,19,25,34,3,126,625,2130
전라남도 진도군,11,7,4,2,14,12,14,8,22,0,67,297,1233
전라남도 신안군,7,4,4,5,9,7,12,16,7,0,290,214,995
전북특별자치도 전주시,12,16,16,16,17,25,33,34,3360,289,26,10228,39372
전북특별자치도 군산시,13,14,15,15,18,21,31,32,3360,289,9,3889,15896
전북특별자치도 익산시,11,13,15,14,16,20,31,30,3360,289,10,4449,16709
전북특별자치도 정읍시,10,9,10,11,14,16,25,25,3360,289,3,1270,5608
전북특별자치도 남원시,8,10,11,10,13,16,25,25,3360,289,2,644,4399
전북특별자치도 김제시,10,8,10,9,13,12,24,21,3360,289,2,946,3672
전북특별자치도 완주군,11,10,9,10,16,16,23,22,3360,289,2,1494,5055
전북특별자치도 진안군,8,5,4,7,12,10,12,20,3360,289,0,255,939
전북특별자치도 무주군,8,8,6,7,13,13,17,17,3360,289,0,251,1063
전북특별자치도 장수군,10,8,5,7,12,12,15,19,3360,289,0,202,994
전북특별자치도 임실군,9,5,4,9,11,9,13,27,3360,289,0,221,1081
전북특별자치도 순창군,7,6,7,9,11,10,19,24,3360,289,0,246,1190
전북특별자치도 고창군,10,7,8,10,12,12,21,22,3360,289,1,423,2152
전북특별자치도 부안군,9,7,8,10,13,12,20,25,3360,289,1,541,2130
제주특별자치도 제주시,12,15,15,15,23,23,30,33,785,44,63,4550,29737
제주특별자치도 서귀포시,9,11,12,12,16,18,27,27,162,3,95,997,8427
충청남도 천안시,14,16,15,16,22,24,30,35,1060,78,66,10385,38323
충청남도 공주시,9,10,10,13,18,17,24,30,126,11,76,1359,4986
충청남도 보령시,13,10,11,12,18,16,25,28,118,6,78,1183,4959
충청남도 아산시,14,15,15,15,21,23,29,34,353,19,93,4890,19707
충청남도 서산시,13,14,14,13,19,22,29,32,196,19,89,2201,10078
충청남도 논산시,9,11,10,12,15,17,24,26,99,12,87,734,6099
충청남도 계룡시,13,15,15,12,20,23,30,28,56,4,99,761,3023
충청남도 당진시,11,13,12,14,19,21,27,29,175,12,75,1651,9420
충청남도 금산군,10,9,9,11,15,15,23,28,38,2,120,424,2296
충청남도 부여군,10,8,9,13,13,13,23,28,54,5,103,598,2757
충청남도 서천군,8,8,10,10,10,13,24,24,55,5,66,293,2049
충청남도 청양군,9,7,7,10,13,11,19,26,20,1,123,287,1041
충청남도 홍성군,11,12,11,11,18,19,25,26,92,11,97,1121,4842
충청남도 예산군,10,9,11,11,15,15,25,25,73,8,77,806,3318
충청남도 태안군,9,9,9,10,14,14,22,25,47,3,106,448,2586
충청북도  청주시,13,15,15,15,18,22,29,33,1355,103,66,10361,50083
충청북도  충주시,11,12,13,11,18,19,28,26,292,30,59,2228,10521
충청북도  제천시,11,12,12,14,17,19,26,29,175,19,72,1748,6588
충청북도  보은군,9,6,8,10,12,10,21,29,24,2,93,294,1206
충청북도  옥천군,11,9,11,13,16,15,22,30,33,8,133,631,2206
충청북도  영동군,11,8,8,10,17,13,21,26,40,1,86,477,1908
충청북도  증평군,10,14,12,10,16,21,24,26,48,3,74,271,1956
충청북도  진천군,12,12,12,15,16,18,24,31,80,5,85,723,3777
충청북도  괴산군,7,6,6,12,12,9,18,29,16,0,145,245,1117
충청북도  음성군,11,11,11,13,17,17,23,31,82,8,101,1157,4712
충청북도  단양군,6,7,6,13,8,11,18,31,14,0,228,170,1216
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0
전북특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0
제주특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
