행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,11,12,8,9,16,18,19,15,162,7,36,1356,3570
경기도 수원시,14,17,15,14,22,26,30,32,1809,158,73,20400,69880
경기도 성남시,13,17,14,12,22,25,30,29,1628,103,55,11510,48568
경기도 안양시,13,17,14,12,21,25,31,31,1045,63,55,7555,31499
경기도 부천시,14,17,15,11,19,25,30,27,1167,100,75,11582,42474
경기도 광명시,15,18,14,12,22,27,30,29,504,15,79,4592,20718
경기도 평택시,13,16,15,14,16,24,30,32,612,35,70,7631,27812
경기도 안산시,14,17,16,13,20,25,30,30,982,80,84,9801,40017
경기도 과천시,14,17,16,12,19,25,33,27,69,1,115,684,3665
경기도 오산시,15,17,16,14,21,26,32,34,240,8,112,6259,15598
경기도 시흥시,15,17,15,15,20,25,29,33,545,29,94,5290,24994
경기도 군포시,15,16,15,14,23,26,31,32,371,29,86,4396,16802
경기도 의왕시,13,16,15,12,23,24,29,27,177,4,78,2020,7842
경기도 하남시,15,17,13,11,20,25,27,26,162,5,90,2106,7861
경기도 용인시,15,18,16,14,21,26,32,33,1645,45,77,18159,67783
경기도 이천시,13,15,14,12,17,23,28,29,336,27,73,2718,12787
경기도 안성시,12,13,13,14,16,20,27,29,1322,15,13,2784,10861
경기도 김포시,15,17,15,13,19,24,29,28,493,21,82,8285,22951
경기도 화성시,16,17,16,16,20,25,32,36,919,29,81,13381,44842
경기도 광주시,14,19,16,14,21,27,32,31,359,9,81,2830,16940
경기도 여주시,13,12,13,11,17,18,27,23,196,12,47,1471,5699
경기도 양평군,11,12,11,9,14,19,24,24,78,2,89,680,4983
경기도 의정부시,13,16,15,13,19,25,30,32,620,41,73,5473,22595
경기도 동두천시,12,16,14,12,19,23,27,30,92,8,77,939,5358
경기도 고양시,14,18,15,14,22,26,31,32,1772,99,66,14703,56342
경기도 구리시,14,17,16,13,23,25,32,32,309,13,72,2533,10049
경기도 남양주시,14,18,15,13,19,25,30,31,783,26,94,10604,41703
경기도 파주시,14,16,16,14,19,24,31,31,428,24,107,7711,27217
경기도 양주시,12,16,16,15,16,23,32,34,199,4,120,2924,13265
경기도 포천시,12,13,12,12,14,19,25,26,128,8,120,1427,7757
경기도 연천군,10,9,10,11,13,14,24,25,35,1,118,367,1813
경기도 가평군,10,11,13,10,14,17,25,26,64,3,92,478,2684
강원특별자치도 춘천시,12,14,15,14,21,22,30,35,410,30,67,3214,14973
강원특별자치도 원주시,13,14,14,15,19,22,29,35,492,39,68,4999,19360
강원특별자치도 강릉시,11,14,15,13,18,20,30,29,348,34,61,1887,10789
강원특별자치도 동해시,14,15,13,13,20,23,27,31,119,16,85,1399,5335
강원특별자치도 태백시,12,10,11,10,17,16,26,27,53,3,89,546,2363
강원특별자치도 속초시,12,14,15,14,19,21,29,33,111,7,94,594,4275
강원특별자치도 삼척시,12,10,8,9,18,15,19,23,65,7,91,848,2933
강원특별자치도 홍천군,9,7,10,13,14,12,21,32,73,5,91,698,3070
강원특별자치도 횡성군,11,8,5,9,16,12,15,24,37,0,95,304,1829
강원특별자치도 영월군,8,7,5,7,12,11,15,20,26,1,106,348,1529
강원특별자치도 평창군,11,7,8,9,14,12,20,24,31,2,124,399,1873
강원특별자치도 정선군,10,7,8,7,15,11,20,20,29,0,109,379,1489
강원특별자치도 철원군,10,9,12,12,15,15,25,30,56,1,96,354,2473
강원특별자치도 화천군,8,6,9,8,15,10,22,25,21,0,107,363,1154
강원특별자치도 양구군,9,7,7,11,13,13,19,27,17,0,141,145,1220
강원특별자치도 인제군,9,7,7,10,14,12,21,25,30,0,108,479,1692
강원특별자치도 고성군,10,6,7,9,14,9,19,24,15,0,124,189,1024
강원특별자치도 양양군,8,6,8,9,12,9,19,22,22,0,102,242,1033
경상남도 창원시,13,15,15,13,22,23,30,30,1650,147,63,17247,58903
경상남도 진주시,12,14,14,14,19,22,29,33,706,61,43,3890,19709
경상남도 통영시,14,13,12,14,22,21,26,31,217,8,63,2209,7846
경상남도 사천시,11,13,13,9,16,20,26,26,193,9,46,1178,6372
경상남도 김해시,14,16,16,15,23,24,32,35,997,58,69,9646,36185
경상남도 밀양시,11,11,11,11,17,18,26,23,147,10,47,1046,4374
경상남도 거제시,14,15,14,17,21,22,29,36,395,25,72,5320,16556
경상남도 양산시,13,15,15,14,22,23,30,33,390,20,77,5892,17996
경상남도 의령군,6,5,7,10,11,8,20,24,18,0,77,179,848
경상남도 함안군,11,11,12,11,18,17,24,25,71,0,69,1034,3543
경상남도 창녕군,9,8,11,10,15,14,26,25,59,4,54,606,2214
경상남도 고성군,6,8,7,12,13,13,18,26,64,2,57,326,2207
경상남도 남해군,11,8,7,10,16,13,18,23,44,0,62,257,1474
경상남도 하동군,8,7,6,9,11,12,18,24,38,4,88,236,1698
경상남도 산청군,8,6,7,6,12,11,17,20,23,1,108,198,1142
경상남도 함양군,11,9,9,10,16,13,22,25,38,2,85,407,1685
경상남도 거창군,10,10,9,11,16,16,21,24,90,7,52,590,2916
경상남도 합천군,7,6,8,8,12,9,19,23,39,1,62,319,1407
경상북도 포항시,13,15,13,13,20,23,28,27,724,58,58,8519,26943
경상북도 경주시,13,13,12,12,19,20,26,27,329,20,54,3236,12185
경상북도 김천시,13,11,6,12,18,18,17,28,105,19,82,1933,6007
경상북도 안동시,13,12,11,12,19,20,25,28,200,27,58,2225,8117
경상북도 구미시,13,16,14,14,20,25,30,33,719,58,70,9712,27484
경상북도 영주시,14,13,10,13,19,21,23,28,160,18,43,1148,5156
경상북도 영천시,12,10,7,11,17,18,19,25,83,7,70,763,3622
경상북도 상주시,12,9,6,5,18,16,18,21,104,10,54,1350,4133
경상북도 문경시,12,10,10,7,20,17,24,27,76,9,62,865,3064
경상북도 경산시,10,14,13,13,16,22,28,29,298,21,56,4346,12796
경상북도 군위군,10,6,5,9,12,10,14,24,6,0,201,110,504
경상북도 의성군,9,6,5,8,11,11,14,19,20,1,126,205,1323
경상북도 청송군,10,7,3,5,16,12,10,18,16,1,76,208,743
경상북도 영양군,9,6,4,7,11,11,13,18,8,0,128,123,571
경상북도 영덕군,10,8,6,10,11,14,17,23,30,0,77,174,1248
경상북도 청도군,10,7,3,8,12,13,11,20,32,1,45,280,1156
경상북도 고령군,9,9,6,8,13,14,15,20,23,0,83,248,1300
경상북도 성주군,11,6,5,8,13,11,17,20,30,0,69,221,1234
경상북도 칠곡군,13,12,12,11,18,20,26,25,180,4,63,2049,7095
경상북도 예천군,11,8,6,8,14,14,17,23,33,3,78,279,1456
경상북도 봉화군,9,6,5,4,10,11,15,16,15,0,117,214,1070
경상북도 울진군,13,9,9,11,15,15,22,24,53,3,81,351,2231
경상북도 울릉군,11,7,4,11,14,12,12,24,3,0,404,104,305
광주광역시 동구,12,11,11,14,19,19,23,32,193,119,29,803,3445
광주광역시 서구,11,15,15,14,18,22,30,32,731,87,43,4732,18413
광주광역시 남구,11,15,13,14,18,23,29,32,486,37,41,3609,12795
광주광역시 북구,11,14,13,15,18,21,28,34,823,124,46,6856,25016
광주광역시 광산구,13,16,15,14,20,24,30,34,871,64,61,7741,32193
대구광역시 중구,11,14,12,13,17,21,27,33,137,144,45,784,4283
대구광역시 동구,11,14,12,13,19,22,26,33,331,26,70,5247,17021
