행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,10,12,9,8,15,19,20,22,344,13,11,493,2200
경기도 수원시,14,17,14,12,20,26,29,29,1879,178,66,20801,68095
경기도 성남시,12,16,13,11,19,25,29,28,1801,116,47,11118,47213
경기도 안양시,13,17,14,12,19,25,28,29,1032,62,50,7048,29890
경기도 부천시,14,16,13,11,18,24,28,25,1157,100,69,11651,40820
경기도 광명시,14,16,13,11,20,26,28,28,526,31,70,4274,19436
경기도 평택시,13,16,13,13,15,24,27,29,652,46,65,7866,28674
경기도 안산시,13,17,14,12,18,24,28,28,940,85,78,9045,36926
경기도 과천시,11,16,14,10,14,25,29,24,72,3,91,498,2973
경기도 오산시,15,17,15,13,19,26,31,31,241,13,109,6500,15696
경기도 시흥시,14,16,14,13,17,24,29,31,602,33,81,5461,25140
경기도 군포시,14,16,14,13,20,25,28,31,412,33,72,3979,15850
경기도 의왕시,13,15,14,12,18,24,27,26,178,4,71,1821,7487
경기도 하남시,15,17,13,9,19,25,28,22,228,7,88,2620,12281
경기도 용인시,15,17,14,13,18,26,30,31,1731,47,71,18118,67328
경기도 이천시,12,14,13,12,14,23,26,28,340,25,70,2897,12988
경기도 안성시,12,13,13,13,14,20,26,28,207,19,84,2685,10734
경기도 김포시,14,17,14,12,16,25,29,28,586,33,74,9551,25578
경기도 화성시,15,17,15,15,18,25,31,34,1100,43,78,16066,52593
경기도 광주시,14,18,15,13,19,27,30,30,384,8,77,2734,17608
경기도 여주시,12,12,10,11,15,18,24,23,106,7,82,1324,5548
경기도 양평군,10,12,9,8,12,19,23,22,77,3,91,676,5118
경기도 의정부시,12,16,13,12,16,25,28,28,662,46,63,5332,21918
경기도 동두천시,11,15,12,11,14,23,25,24,93,6,73,844,5231
경기도 고양시,13,17,14,12,19,25,30,29,1880,120,58,15028,54467
경기도 구리시,13,17,14,12,20,25,30,29,327,16,62,2694,9780
경기도 남양주시,14,17,14,12,18,25,28,29,877,24,83,10905,41985
경기도 파주시,14,16,15,13,17,24,29,30,490,30,95,7715,27888
경기도 양주시,12,15,15,14,13,23,30,32,224,8,105,2983,13026
경기도 포천시,11,12,10,11,12,19,23,24,135,7,102,1260,7217
경기도 연천군,11,9,7,10,14,14,21,24,39,0,98,431,1802
경기도 가평군,10,10,11,10,10,17,23,24,60,4,91,374,2651
강원특별자치도 춘천시,11,14,12,14,20,21,26,32,420,33,61,3519,14701
강원특별자치도 원주시,12,14,12,14,19,22,26,32,547,48,59,5233,19531
강원특별자치도 강릉시,11,13,13,12,18,19,26,28,366,42,53,1932,10151
강원특별자치도 동해시,12,15,11,12,18,22,23,28,123,15,76,1318,5062
강원특별자치도 태백시,9,10,9,10,15,16,23,27,47,3,93,407,2323
강원특별자치도 속초시,13,13,13,13,19,20,25,30,119,9,78,581,3870
강원특별자치도 삼척시,12,9,6,8,17,14,16,21,68,6,78,814,2783
강원특별자치도 홍천군,10,7,8,12,14,12,19,29,77,4,78,661,2938
강원특별자치도 횡성군,11,7,5,8,14,12,13,22,46,0,70,278,1694
강원특별자치도 영월군,7,6,4,7,12,10,13,20,26,2,93,332,1387
강원특별자치도 평창군,9,7,7,8,13,11,18,22,36,1,95,336,1708
강원특별자치도 정선군,8,7,6,7,14,11,17,19,32,0,92,352,1516
강원특별자치도 철원군,9,9,10,11,13,14,21,27,50,2,97,335,2326
강원특별자치도 화천군,11,6,7,7,14,10,18,22,19,0,108,341,1117
강원특별자치도 양구군,11,7,6,10,13,11,17,26,18,0,121,147,1104
강원특별자치도 인제군,8,7,7,8,13,12,18,22,26,0,114,423,1590
강원특별자치도 고성군,10,5,6,8,15,9,16,21,16,0,103,201,959
강원특별자치도 양양군,7,6,7,9,11,9,16,21,21,1,97,228,962
경상남도 창원시,13,14,13,11,22,22,27,28,1778,168,54,17609,57188
경상남도 진주시,12,14,12,12,20,22,26,29,791,71,37,4169,19689
경상남도 통영시,12,14,11,14,19,21,24,32,228,8,58,1993,8135
경상남도 사천시,10,13,11,8,15,20,24,22,194,10,44,993,6417
경상남도 김해시,13,16,13,14,21,23,29,33,1085,70,60,9675,35186
경상남도 밀양시,12,10,10,11,17,17,24,24,136,9,47,1052,4248
경상남도 거제시,14,15,12,16,21,22,27,38,432,29,66,5364,17487
경상남도 양산시,13,15,13,14,22,22,28,34,468,27,66,7033,19371
경상남도 의령군,7,5,7,8,8,8,19,25,19,0,66,156,802
경상남도 함안군,11,11,11,10,18,16,23,26,82,0,61,989,3704
경상남도 창녕군,10,8,8,10,14,13,21,20,52,5,58,575,2215
경상남도 고성군,6,7,7,10,11,12,18,23,67,2,53,290,2222
경상남도 남해군,8,7,6,10,11,13,17,22,84,2,30,183,1422
경상남도 하동군,5,7,5,7,7,11,18,19,36,6,82,165,1645
경상남도 산청군,7,6,5,6,11,10,15,17,23,1,99,182,1125
경상남도 함양군,9,8,8,9,13,13,19,25,43,1,68,328,1591
경상남도 거창군,12,10,7,10,16,16,19,25,80,4,55,591,2916
경상남도 합천군,8,5,6,7,12,8,17,19,40,1,51,300,1256
경상북도 포항시,13,15,11,11,20,23,25,25,735,61,54,8680,26717
경상북도 경주시,14,13,10,11,20,21,23,25,332,26,49,3297,11757
경상북도 김천시,13,12,8,10,18,19,20,25,120,16,74,2145,6449
경상북도 안동시,13,12,9,11,20,20,21,25,217,28,52,2413,8235
경상북도 구미시,14,16,12,14,20,25,25,32,815,62,58,10454,26881
경상북도 영주시,13,12,8,11,18,20,20,26,159,16,41,1165,4982
경상북도 영천시,11,10,7,9,16,18,18,23,95,9,57,724,3573
경상북도 상주시,12,9,6,4,17,16,16,15,101,11,52,1329,4033
경상북도 문경시,12,10,8,6,18,16,20,22,75,8,56,890,2918
경상북도 경산시,11,13,12,14,17,22,24,28,306,25,55,4525,12565
경상북도 군위군,8,6,4,8,11,11,12,22,8,0,140,111,506
경상북도 의성군,7,6,5,7,9,11,16,20,21,1,108,182,1250
경상북도 청송군,11,6,3,6,16,11,10,18,10,1,109,230,657
경상북도 영양군,6,6,3,7,8,11,9,17,8,0,116,110,553
경상북도 영덕군,8,8,5,9,9,14,15,21,31,0,70,147,1205
경상북도 청도군,10,7,2,6,13,13,8,14,31,1,43,279,1153
경상북도 고령군,8,8,4,6,10,14,13,14,25,0,68,163,1233
경상북도 성주군,10,6,5,9,12,12,15,22,30,0,63,212,1225
경상북도 칠곡군,13,13,10,10,18,20,23,27,184,5,59,1973,7001
경상북도 예천군,9,8,5,9,13,14,15,22,30,3,76,249,1377
경상북도 봉화군,6,6,6,2,8,10,16,14,13,0,119,175,994
경상북도 울진군,10,9,7,9,12,15,18,23,53,3,73,266,2094
경상북도 울릉군,13,7,2,9,14,11,9,23,2,0,543,117,284
광주광역시 동구,11,10,9,13,17,18,19,30,191,116,26,844,3165
광주광역시 서구,11,14,13,14,18,21,25,30,722,86,40,4766,17461
광주광역시 남구,12,14,10,14,20,21,24,30,502,41,38,3980,12820
광주광역시 북구,11,13,11,14,18,21,24,31,827,127,42,6505,23464
광주광역시 광산구,13,15,12,14,20,23,26,33,872,72,57,8559,31279
대구광역시 중구,14,13,10,14,18,21,23,33,131,164,45,810,4144
대구광역시 동구,12,14,11,14,16,23,22,33,344,28,66,5567,17060
대구광역시 서구,12,11,9,10,22,19,22,23,138,28,72,1403,6161
대구광역시 남구,11,12,9,10,18,20,22,23,96,34,71,1675,4758
대구광역시 북구,12,14,11,12,19,22,24,30,564,53,66,7488,23118
대구광역시 수성구,11,15,12,14,19,24,25,32,909,55,42,6348,23967
대구광역시 달서구,13,14,12,12,22,23,25,29,879,71,59,9887,32135
대구광역시 달성군,14,12,11,11,22,20,23,29,310,11,66,5758,13365
대전광역시 동구,11,13,11,11,16,20,26,27,181,33,92,2403,11794
대전광역시 중구,11,13,13,12,18,20,28,30,242,106,76,3725,13082
대전광역시 서구,11,15,12,11,19,22,27,27,758,127,63,7866,26732
대전광역시 유성구,12,14,12,12,19,22,27,29,486,46,82,7387,23055
대전광역시 대덕구,12,11,11,9,17,19,24,23,232,12,67,2631,9577
부산광역시 중구,9,14,11,9,17,21,24,23,30,27,250,189,1396
부산광역시 서구,13,12,12,10,25,20,26,26,105,5,69,1022,3694
부산광역시 동구,12,12,11,12,20,18,24,24,42,31,96,820,2456
부산광역시 영도구,11,12,9,12,18,19,22,24,79,1,81,967,4086
부산광역시 부산진구,12,14,12,9,22,21,25,22,386,195,57,5297,15375
부산광역시 동래구,12,16,14,14,22,23,27,30,486,50,47,3895,12486
부산광역시 남구,12,14,13,11,21,22,26,26,288,52,70,2970,12130
부산광역시 북구,12,14,11,12,22,21,25,29,362,32,69,4542,13403
부산광역시 해운대구,12,15,13,14,21,23,27,32,626,34,58,5092,20391
부산광역시 사하구,11,14,12,12,21,21,26,28,395,35,52,4307,14394
부산광역시 금정구,11,14,13,11,22,21,25,26,342,49,49,2908,9690
부산광역시 강서구,14,14,10,10,21,21,25,25,182,3,57,3089,6962
부산광역시 연제구,12,15,12,10,23,22,24,25,253,39,54,1684,9440
부산광역시 수영구,12,15,12,13,22,22,25,30,253,22,38,2142,6154
부산광역시 사상구,11,13,11,11,21,20,24,25,147,24,87,3320,8431
부산광역시 기장군,13,15,14,13,21,23,27,30,207,8,83,3609,10375
서울특별시 종로구,13,11,10,12,20,20,24,29,109,188,70,1320,5561
서울특별시 중구,12,13,8,12,16,21,17,29,64,64,117,1172,5283
서울특별시 용산구,11,13,10,13,21,21,23,29,143,32,77,1672,7624
서울특별시 성동구,13,12,11,11,22,20,24,24,255,40,75,2638,12047
서울특별시 광진구,12,14,13,13,23,23,26,30,383,59,62,3139,15029
서울특별시 동대문구,12,14,12,9,19,22,24,22,304,56,62,3249,13930
서울특별시 중랑구,12,14,12,12,20,22,25,27,266,22,92,3365,15419
서울특별시 성북구,11,15,13,12,20,24,26,29,424,33,70,5094,21897
서울특별시 강북구,11,14,12,11,18,23,26,25,203,24,84,1887,10878
서울특별시 도봉구,12,15,12,11,19,22,24,24,345,15,76,2929,16242
서울특별시 노원구,12,15,13,12,19,22,26,27,728,47,64,6867,28364
서울특별시 은평구,12,15,13,12,17,23,26,26,480,41,66,4242,22409
서울특별시 서대문구,12,14,12,12,20,22,24,27,289,53,61,2649,13193
서울특별시 마포구,13,13,13,12,20,22,26,27,444,172,50,2975,15850
서울특별시 양천구,11,15,14,13,19,23,27,31,1018,34,42,4972,24526
서울특별시 강서구,12,15,12,10,20,22,24,24,673,40,54,6084,26594
서울특별시 구로구,12,14,12,13,21,23,24,30,367,64,85,3271,18965
서울특별시 금천구,13,12,11,11,18,20,22,25,180,35,74,1767,9030
서울특별시 영등포구,12,12,12,11,21,20,24,25,315,155,80,3883,13905
서울특별시 동작구,12,15,12,11,19,24,26,26,365,107,69,3620,16698
서울특별시 관악구,12,13,12,10,20,22,25,24,366,89,68,4147,16227
서울특별시 서초구,13,17,13,12,22,26,27,29,835,255,45,3122,22939
서울특별시 강남구,12,15,13,13,22,25,27,30,1744,502,23,4156,24371
서울특별시 송파구,12,14,13,12,22,23,26,27,1023,70,52,6261,31191
서울특별시 강동구,15,13,12,11,21,22,24,23,631,38,47,4506,20161
울산광역시 중구,15,15,12,12,22,22,26,28,412,36,52,3480,12074
울산광역시 남구,14,15,12,13,22,22,27,31,1003,98,34,4707,16491
울산광역시 동구,16,15,12,12,24,22,25,28,267,11,59,2930,10053
울산광역시 북구,16,16,12,12,23,23,25,28,346,14,72,4976,13844
울산광역시 울주군,13,15,12,14,18,21,25,33,369,10,61,3478,13554
인천광역시 강화군,10,15,14,8,12,22,27,21,90,11,120,592,7346
인천광역시 옹진군,10,14,10,4,12,21,20,12,45,2,104,146,4015
인천광역시 중구,13,15,13,9,18,23,27,24,328,53,82,2018,17540
인천광역시 동구,13,17,15,9,19,24,30,24,593,24,55,1032,20803
인천광역시 미추홀구,14,16,14,10,21,24,27,26,657,66,72,4989,29429
