행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
인천광역시 연수구,14,15,14,12,22,22,27,28,565,97,82,5569,26138
인천광역시 남동구,14,15,13,13,20,22,26,28,363,29,87,9936,16403
인천광역시 부평구,13,16,14,11,20,23,29,26,697,29,79,6484,31686
인천광역시 계양구,13,8,9,12,21,13,20,28,48,1,236,3758,2513
인천광역시 서구,16,7,5,13,22,9,11,30,4,0,2587,9485,597
전라남도 목포시,13,16,13,11,17,24,28,26,473,35,45,4067,15569
전라남도 여수시,11,13,12,13,14,21,27,29,535,33,46,3377,14692
전라남도 순천시,12,15,13,12,15,23,28,28,497,56,57,3794,16662
전라남도 나주시,9,11,7,8,15,18,18,22,156,7,46,1356,5071
전라남도 광양시,10,14,12,12,13,21,26,30,251,13,64,1617,9076
전라남도 담양군,10,7,7,10,13,13,19,25,13,1,197,347,1455
전라남도 곡성군,9,8,9,10,11,13,21,26,25,1,76,188,982
전라남도 구례군,10,7,7,10,12,11,18,26,20,0,95,201,1042
전라남도 고흥군,5,8,6,11,9,13,17,25,49,2,81,299,2060
전라남도 보성군,8,6,6,10,8,10,16,23,32,1,73,221,1396
전라남도 화순군,9,10,9,13,13,16,21,32,85,3,66,510,2960
전라남도 장흥군,10,7,7,10,10,12,19,24,27,1,112,317,1500
전라남도 강진군,9,7,6,9,9,12,17,26,32,0,84,162,1359
전라남도 해남군,11,8,8,9,12,14,21,26,55,6,90,582,2899
전라남도 영암군,11,9,7,10,14,16,19,24,53,3,86,553,2562
전라남도 무안군,8,11,11,11,15,18,25,26,141,5,50,878,4490
전라남도 함평군,9,6,5,9,9,12,15,24,17,2,124,145,1000
전라남도 영광군,11,9,8,12,12,16,20,28,63,3,58,427,2305
전라남도 장성군,9,8,7,11,14,15,19,28,34,2,93,580,1928
전라남도 완도군,12,7,6,8,14,13,17,23,31,2,129,611,2101
전라남도 진도군,10,7,4,2,12,11,13,10,26,0,54,250,1187
전라남도 신안군,6,4,3,5,10,7,9,18,6,0,280,228,937
전북특별자치도 전주시,11,16,14,15,17,24,30,32,3617,322,22,11016,38417
전북특별자치도 군산시,11,13,13,14,18,21,28,31,3617,322,8,4069,15680
전북특별자치도 익산시,10,13,13,13,14,20,28,28,3617,322,8,4477,15896
전북특별자치도 정읍시,9,9,9,10,13,15,22,24,3617,322,3,1206,5277
전북특별자치도 남원시,7,9,9,10,11,16,22,24,3617,322,2,574,4115
전북특별자치도 김제시,11,8,9,8,14,12,22,18,3617,322,1,942,3637
전북특별자치도 완주군,8,10,9,9,15,16,21,21,3617,322,2,1463,5100
전북특별자치도 진안군,6,5,3,6,12,9,10,16,3617,322,0,240,908
전북특별자치도 무주군,7,8,6,6,12,13,16,18,3617,322,0,218,1076
전북특별자치도 장수군,8,8,5,6,13,12,13,17,3617,322,0,200,985
전북특별자치도 임실군,7,5,4,8,11,9,12,25,3617,322,0,215,1025
전북특별자치도 순창군,7,5,6,8,10,10,17,22,3617,322,0,222,1159
전북특별자치도 고창군,7,7,7,10,12,12,19,22,3617,322,1,420,2108
전북특별자치도 부안군,7,6,7,9,12,11,17,23,3617,322,1,506,2000
제주특별자치도 제주시,12,15,13,14,24,23,27,31,785,44,61,4736,29884
제주특별자치도 서귀포시,9,11,11,12,18,19,24,27,162,3,98,1157,9017
충청남도 천안시,13,15,13,14,20,24,28,33,1105,83,62,10817,39092
충청남도 공주시,10,10,9,12,16,16,23,27,123,10,69,1333,4601
충청남도 보령시,12,9,10,11,18,15,23,26,124,7,68,1155,4726
충청남도 아산시,13,15,13,15,18,23,27,31,376,22,90,5604,20778
충청남도 서산시,12,14,11,13,15,21,26,30,211,18,78,2039,10006
충청남도 논산시,9,10,9,10,13,17,21,23,116,14,69,691,5834
충청남도 계룡시,13,16,13,12,19,23,29,29,50,5,116,788,3258
충청남도 당진시,12,13,10,13,17,21,25,31,185,13,72,1696,9937
충청남도 금산군,8,9,7,11,13,14,21,26,35,1,121,371,2313
충청남도 부여군,8,7,8,11,12,12,20,25,49,4,98,539,2481
충청남도 서천군,7,7,8,8,10,12,21,22,52,4,61,265,1895
충청남도 청양군,10,6,5,9,14,11,14,20,18,2,121,300,992
충청남도 홍성군,11,12,10,11,16,19,23,24,112,12,86,1488,5521
충청남도 예산군,10,8,9,10,13,14,21,23,72,10,68,738,3040
충청남도 태안군,10,8,8,9,13,13,20,23,47,3,98,418,2489
충청북도  청주시,12,15,13,14,18,22,27,31,1344,111,63,10731,49407
충청북도  충주시,11,11,11,11,17,18,25,25,265,29,60,2125,10225
충청북도  제천시,10,11,10,13,16,18,22,28,169,18,68,1735,6326
충청북도  보은군,8,5,7,8,11,9,19,26,23,1,87,274,1158
충청북도  옥천군,11,9,8,13,15,15,19,29,33,2,125,579,2200
충청북도  영동군,9,7,6,10,14,12,16,25,41,1,76,417,1745
충청북도  증평군,10,14,11,10,17,21,23,25,50,3,70,285,2084
충청북도  진천군,10,12,9,11,16,18,21,26,75,5,96,747,4153
충청북도  괴산군,9,6,5,11,11,10,14,28,15,0,142,210,1095
충청북도  음성군,11,11,9,13,16,17,20,29,90,9,89,1106,4744
충청북도  단양군,6,6,6,13,7,10,18,29,14,0,212,142,1103
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0
전북특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0
제주특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
