행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,6,11,9,10,13,17,19,22,662,27,6,403,2200
경기도 수원시,12,16,13,10,18,25,29,24,1877,173,62,17358,67474
경기도 성남시,10,16,12,10,15,25,28,24,1821,129,43,9035,45788
경기도 안양시,11,16,12,10,17,24,27,25,968,84,48,5709,27336
경기도 부천시,12,15,12,9,15,24,28,23,1160,107,61,9698,38989
경기도 광명시,11,15,12,10,15,24,27,25,515,32,63,3040,17318
경기도 평택시,12,15,13,11,15,23,27,26,673,64,68,7118,31602
경기도 안산시,11,16,13,9,15,24,27,21,866,93,72,6755,33219
경기도 과천시,10,16,13,8,15,25,29,21,74,2,76,357,2882
경기도 오산시,12,17,15,11,15,25,31,27,278,12,100,5171,16481
경기도 시흥시,12,16,13,11,16,24,27,26,755,35,71,6013,30471
경기도 군포시,11,15,12,10,15,23,27,25,401,35,65,2995,14676
경기도 의왕시,11,14,11,9,16,22,26,21,166,10,73,1331,7455
경기도 하남시,13,17,12,9,17,26,28,23,353,15,75,3029,16940
경기도 용인시,13,16,13,12,16,25,30,28,1908,60,64,15301,68903
경기도 이천시,11,15,12,9,14,22,26,23,368,27,61,2242,12879
경기도 안성시,11,12,12,11,14,19,26,24,204,21,82,2398,10657
경기도 김포시,13,17,14,12,17,25,30,27,789,38,66,9947,32551
경기도 화성시,13,17,15,12,16,25,32,30,1478,59,72,17822,66535
경기도 광주시,11,17,13,10,15,25,28,24,412,12,79,2414,19933
경기도 여주시,10,11,9,8,11,18,24,19,116,7,69,1039,5248
경기도 양평군,7,11,7,7,9,18,21,20,95,5,72,490,5086
경기도 의정부시,11,16,13,10,15,24,27,23,684,54,58,4628,22170
경기도 동두천시,9,15,11,8,9,22,24,19,85,5,72,544,4787
경기도 고양시,12,16,13,10,15,24,28,24,1882,127,54,12679,54930
경기도 구리시,12,15,13,10,17,24,28,24,365,19,51,2107,9738
경기도 남양주시,12,17,13,11,15,25,28,25,1027,32,73,9449,44660
경기도 파주시,13,15,14,12,16,23,30,26,620,39,77,6860,29154
경기도 양주시,10,14,14,12,13,22,28,29,253,13,93,2593,13384
경기도 포천시,9,11,8,8,9,17,21,19,118,10,98,906,6334
경기도 연천군,10,8,6,7,13,13,18,16,34,0,98,393,1702
경기도 가평군,8,9,10,8,8,15,23,19,49,3,98,265,2449
강원특별자치도 춘천시,10,14,11,10,17,21,25,25,394,36,62,3005,14913
강원특별자치도 원주시,11,13,11,11,16,21,24,26,546,57,58,4603,19691
강원특별자치도 강릉시,10,12,12,9,16,19,25,22,376,44,47,1708,9771
강원특별자치도 동해시,11,14,11,9,15,21,23,22,120,18,71,1037,4913
강원특별자치도 태백시,7,9,8,8,11,15,21,21,47,7,83,255,2100
강원특별자치도 속초시,10,13,12,10,17,20,25,24,110,7,73,540,3832
강원특별자치도 삼척시,10,9,6,7,15,14,16,18,61,6,78,720,2667
강원특별자치도 홍천군,8,7,7,9,11,11,18,23,69,4,73,545,2626
강원특별자치도 횡성군,7,7,5,7,12,11,13,19,42,0,70,259,1578
강원특별자치도 영월군,6,6,4,5,9,10,12,16,35,2,60,224,1213
강원특별자치도 평창군,5,6,6,6,8,10,16,17,33,1,86,195,1448
강원특별자치도 정선군,6,6,5,4,10,10,15,14,21,0,121,250,1366
강원특별자치도 철원군,8,8,9,8,14,13,21,21,45,2,90,295,1996
강원특별자치도 화천군,8,6,7,6,11,10,17,18,16,0,115,261,1022
강원특별자치도 양구군,9,6,5,8,12,11,15,20,20,0,97,156,1029
강원특별자치도 인제군,6,7,6,6,10,12,16,17,26,1,99,266,1461
강원특별자치도 고성군,9,5,6,5,12,9,15,15,13,0,116,165,938
강원특별자치도 양양군,5,6,7,8,10,10,17,20,19,1,96,195,914
경상남도 창원시,11,14,12,9,17,22,25,22,1766,177,52,15720,58402
경상남도 진주시,11,14,11,9,18,21,24,22,797,70,35,4406,20126
경상남도 통영시,10,14,10,10,14,21,22,22,212,11,60,1458,8075
경상남도 사천시,8,13,10,8,12,20,22,18,189,14,43,760,6145
경상남도 김해시,13,15,13,11,18,22,26,27,1049,80,60,8810,35472
경상남도 밀양시,10,11,11,8,15,17,25,20,134,9,45,940,4053
경상남도 거제시,12,15,13,12,17,23,25,29,399,31,72,4769,18620
경상남도 양산시,12,15,13,12,18,23,27,30,547,32,62,7348,22174
경상남도 의령군,5,4,6,7,9,8,16,17,17,0,65,147,723
