행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
경상남도 함안군,9,10,11,8,14,16,22,21,76,1,63,702,3486
경상남도 창녕군,7,8,7,7,12,14,18,19,46,3,64,432,2255
경상남도 고성군,4,7,6,9,7,13,17,18,63,1,53,192,2157
경상남도 남해군,6,6,6,8,11,11,17,19,39,2,55,191,1247
경상남도 하동군,5,6,5,6,7,10,15,15,32,3,79,150,1404
경상남도 산청군,5,5,7,6,8,9,16,16,21,1,99,136,972
경상남도 함양군,7,7,7,6,12,12,18,17,38,2,68,307,1426
경상남도 거창군,8,10,7,7,13,16,19,19,74,5,57,508,2941
경상남도 합천군,6,5,5,5,9,9,16,15,29,2,64,215,1171
경상북도 포항시,12,15,10,9,18,23,22,21,694,60,56,7760,27554
경상북도 경주시,11,12,9,9,16,20,21,20,304,29,52,2737,11482
경상북도 김천시,11,12,8,7,16,19,22,20,109,13,83,2063,6776
경상북도 안동시,11,12,10,8,16,20,22,21,218,25,53,2070,8267
경상북도 구미시,12,15,11,11,18,24,24,25,761,64,60,9644,27922
경상북도 영주시,9,12,7,8,13,20,19,22,152,17,40,830,4743
경상북도 영천시,10,10,6,6,15,17,16,16,81,9,62,650,3458
경상북도 상주시,10,8,5,4,15,15,16,16,86,11,56,1160,3787
경상북도 문경시,8,10,7,5,16,16,18,19,73,10,53,700,2791
경상북도 경산시,10,14,10,11,17,22,23,23,341,28,51,4021,13342
경상북도 군위군,7,5,4,7,6,10,11,21,6,0,172,66,494
경상북도 의성군,4,6,4,5,6,11,13,14,16,1,120,119,1092
경상북도 청송군,8,6,3,4,12,10,10,17,13,1,73,168,611
경상북도 영양군,7,5,4,4,9,10,11,12,6,1,126,79,490
경상북도 영덕군,8,7,4,6,9,13,12,18,24,0,78,148,1062
경상북도 청도군,8,6,2,3,12,12,10,16,27,1,44,270,1048
경상북도 고령군,7,8,4,3,9,13,13,16,18,0,81,147,1055
경상북도 성주군,6,6,4,7,10,11,12,20,25,0,70,169,1157
경상북도 칠곡군,9,12,10,7,15,19,23,21,169,4,62,1614,6824
경상북도 예천군,8,10,4,9,16,16,12,18,62,5,52,589,2088
경상북도 봉화군,6,5,4,9,8,9,15,18,12,0,178,172,896
경상북도 울진군,8,8,7,7,11,14,18,17,50,2,68,220,1859
경상북도 울릉군,9,6,6,7,10,10,18,17,5,0,184,82,281
광주광역시 동구,10,10,8,8,17,17,20,21,179,106,26,1026,3318
광주광역시 서구,11,14,11,10,17,21,23,25,647,69,40,4337,16292
광주광역시 남구,11,14,10,10,19,21,22,25,560,39,35,3746,13534
광주광역시 북구,11,13,10,10,18,20,22,25,774,136,42,6237,23067
광주광역시 광산구,12,15,12,12,18,22,24,30,871,58,55,7874,30208
대구광역시 중구,12,13,11,10,18,22,23,25,121,158,47,800,4254
대구광역시 동구,12,13,10,10,16,22,21,25,362,36,60,5064,16676
대구광역시 서구,11,10,9,7,17,18,21,20,114,25,73,1077,5445
대구광역시 남구,11,11,8,7,19,19,21,20,94,29,64,1392,4251
대구광역시 북구,12,14,10,10,18,22,22,25,575,44,59,7106,21942
대구광역시 수성구,12,15,11,10,18,24,24,25,927,64,38,5452,23136
대구광역시 달서구,13,13,11,9,19,22,24,24,912,79,51,8705,30392
대구광역시 달성군,12,13,10,10,21,21,22,24,387,14,63,6055,16491
대전광역시 동구,10,12,12,9,17,19,26,22,185,34,84,2024,10740
대전광역시 중구,10,11,12,11,17,19,26,24,231,106,72,3107,11797
대전광역시 서구,11,14,12,9,17,22,26,23,751,139,61,7034,26179
대전광역시 유성구,11,13,12,10,17,21,25,24,520,49,74,6755,22814
대전광역시 대덕구,10,11,10,9,16,18,22,21,203,19,66,2356,8277
부산광역시 중구,7,13,10,9,13,20,22,21,28,22,233,143,1254
부산광역시 서구,10,12,11,9,18,19,24,22,111,4,60,828,3677
부산광역시 동구,12,13,11,8,20,20,24,21,43,21,108,822,2524
부산광역시 영도구,10,11,9,8,15,18,21,21,75,2,84,740,3808
부산광역시 부산진구,12,14,11,8,21,21,24,19,382,189,55,4486,14931
부산광역시 동래구,11,16,13,10,19,23,27,25,552,50,40,3381,13073
부산광역시 남구,11,15,12,8,17,23,25,21,305,52,64,3003,12484
부산광역시 북구,11,14,10,9,17,21,23,23,374,37,61,3992,12712
부산광역시 해운대구,11,15,13,11,18,23,25,25,700,36,47,4270,19600
부산광역시 사하구,10,15,11,10,17,21,24,24,381,36,50,3323,14073
부산광역시 금정구,11,15,12,8,18,22,24,22,342,50,46,2514,9608
부산광역시 강서구,14,15,10,9,21,23,23,24,285,11,50,3645,10234
부산광역시 연제구,12,16,11,9,23,23,24,24,271,39,50,1705,9631
부산광역시 수영구,11,15,12,9,20,22,25,23,252,28,35,2007,6100
부산광역시 사상구,10,13,10,8,17,20,23,21,147,31,78,2708,8006
부산광역시 기장군,13,16,13,12,18,23,26,28,295,13,64,3198,11812
서울특별시 종로구,11,11,8,8,18,19,21,20,99,144,68,1180,5192
서울특별시 중구,10,12,7,8,14,20,17,20,53,56,127,1038,4990
서울특별시 용산구,11,12,11,10,20,19,22,23,128,26,77,1344,6870
서울특별시 성동구,12,11,11,8,19,19,22,19,246,43,70,2110,10992
서울특별시 광진구,11,14,12,10,19,22,24,24,348,57,62,2470,14257
서울특별시 동대문구,11,14,10,8,17,21,22,19,299,51,58,2849,13157
서울특별시 중랑구,10,13,11,10,17,20,23,22,242,20,91,2700,14554
서울특별시 성북구,11,14,12,10,18,22,25,25,419,20,65,4346,20086
서울특별시 강북구,10,14,12,9,13,21,24,22,184,22,82,1244,9913
서울특별시 도봉구,10,14,10,9,18,21,21,21,283,14,81,2252,14540
서울특별시 노원구,11,14,12,10,17,21,23,22,671,47,61,5872,25841
서울특별시 은평구,11,14,12,10,16,22,24,22,478,41,59,3551,20400
서울특별시 서대문구,12,14,11,10,20,22,23,24,289,59,58,2371,12988
서울특별시 마포구,12,13,12,10,19,21,24,24,502,187,40,2784,14375
서울특별시 양천구,11,15,13,10,18,23,25,23,976,32,41,4150,23985
서울특별시 강서구,11,14,10,9,18,22,22,22,643,51,54,5375,26078
서울특별시 구로구,11,13,11,10,18,20,23,24,352,42,82,2905,18180
서울특별시 금천구,11,12,10,8,15,18,21,21,177,35,67,1550,8339
서울특별시 영등포구,11,13,11,9,19,20,23,21,308,137,75,3410,13537
서울특별시 동작구,11,14,11,10,18,22,23,23,348,123,66,2846,15553
서울특별시 관악구,11,13,11,9,15,20,23,21,348,83,63,2991,14410
서울특별시 서초구,11,17,12,10,18,25,25,25,881,267,41,2467,22668
서울특별시 강남구,10,16,13,9,18,26,27,22,1870,491,22,3260,25905
서울특별시 송파구,11,14,12,9,19,22,25,22,988,88,51,5355,31373
서울특별시 강동구,13,14,12,9,20,21,24,20,685,39,44,4237,21353
울산광역시 중구,13,15,11,9,15,22,25,22,407,45,49,2701,11933
울산광역시 남구,13,15,12,9,20,22,25,22,910,99,33,4251,16085
울산광역시 동구,13,16,11,9,17,22,24,22,253,11,61,2214,10290
울산광역시 북구,15,16,11,10,20,23,24,24,369,22,73,4794,15893
울산광역시 울주군,12,14,11,12,15,21,24,27,373,14,60,2922,13196
인천광역시 강화군,9,14,13,7,11,22,25,19,124,12,100,475,8455
인천광역시 옹진군,10,13,8,2,8,20,18,10,39,4,104,91,3485
인천광역시 중구,13,16,12,8,18,23,25,22,327,55,80,2215,17543
인천광역시 동구,12,16,14,8,16,24,28,22,663,25,55,930,24137
인천광역시 미추홀구,13,16,13,9,17,23,26,22,685,76,68,3770,29286
인천광역시 연수구,13,15,12,11,19,22,25,26,558,91,74,5760,23670
인천광역시 남동구,13,14,11,10,18,21,23,24,350,25,77,8552,14220
인천광역시 부평구,11,16,14,9,16,23,28,22,787,29,70,5372,33240
인천광역시 계양구,11,8,8,10,17,13,19,23,48,2,188,2728,2337
인천광역시 서구,14,6,5,10,19,9,11,25,4,0,2459,8426,555
전라남도 목포시,9,15,12,9,15,23,26,22,433,41,48,3326,15553
전라남도 여수시,8,13,10,9,13,20,25,23,466,36,49,3030,14424
전라남도 순천시,8,14,12,9,14,22,26,23,483,56,55,3565,16649
전라남도 나주시,7,11,7,6,14,18,19,17,145,19,59,1617,6058
전라남도 광양시,7,13,10,9,11,20,24,24,241,15,64,1199,9221
전라남도 담양군,5,7,6,8,11,12,17,20,242,16,9,290,1425
전라남도 곡성군,3,5,8,7,7,12,21,18,21,0,77,113,883
전라남도 구례군,5,6,6,9,9,11,18,21,23,1,71,157,908
전라남도 고흥군,4,6,5,8,8,11,15,21,48,2,72,243,1800
전라남도 보성군,4,5,5,6,7,10,15,15,25,1,79,168,1245
전라남도 화순군,5,9,7,10,10,14,19,24,75,5,63,391,2649
전라남도 장흥군,5,7,6,7,10,12,16,17,27,1,96,280,1397
전라남도 강진군,3,6,5,6,6,11,15,20,26,0,94,117,1259
전라남도 해남군,6,8,7,4,11,13,20,9,54,8,76,480,2684
전라남도 영암군,7,8,6,7,13,15,17,18,48,0,87,400,2474
전라남도 무안군,6,12,10,8,11,18,25,20,176,12,40,691,4648
전라남도 함평군,3,6,5,7,6,11,15,18,14,1,138,79,976
전라남도 영광군,6,9,7,7,9,15,19,20,65,3,52,343,2175
전라남도 장성군,6,8,7,8,11,14,19,22,35,1,85,443,1856
전라남도 완도군,6,7,5,6,12,12,16,19,34,1,109,545,2034
전라남도 진도군,6,6,3,2,10,11,11,10,22,0,59,241,1124
전라남도 신안군,4,4,3,4,8,7,9,12,7,0,246,171,963
전북특별자치도 전주시,10,15,12,12,15,23,27,26,3458,395,22,9171,39321
전북특별자치도 군산시,9,13,12,12,15,20,26,27,3458,395,8,3484,15515
전북특별자치도 익산시,8,12,11,11,12,19,24,23,3458,395,8,3523,14602
전북특별자치도 정읍시,7,8,8,8,12,14,20,20,3458,395,2,1072,4871
전북특별자치도 남원시,4,8,8,8,8,14,19,19,3458,395,2,404,3696
전북특별자치도 김제시,6,7,7,6,10,12,20,17,3458,395,1,718,3423
전북특별자치도 완주군,7,9,8,8,12,15,20,18,3458,395,2,1296,4718
전북특별자치도 진안군,4,5,3,5,9,9,10,16,3458,395,0,139,843
전북특별자치도 무주군,6,7,6,5,12,12,15,16,3458,395,0,181,935
전북특별자치도 장수군,4,7,4,4,10,12,12,12,3458,395,0,154,914
전북특별자치도 임실군,3,4,3,7,7,8,11,22,3458,395,0,135,952
전북특별자치도 순창군,6,5,6,7,9,9,16,19,3458,395,0,194,1025
전북특별자치도 고창군,4,6,7,7,9,11,16,16,3458,395,1,302,2018
전북특별자치도 부안군,6,6,5,7,10,11,15,16,3458,395,1,415,1828
제주특별자치도 제주시,15,15,12,11,22,23,26,27,806,54,60,5168,31087
제주특별자치도 서귀포시,14,11,10,9,17,19,24,22,181,10,87,1227,9488
충청남도 천안시,11,15,13,12,17,24,29,29,1161,92,59,10088,41731
충청남도 공주시,8,9,8,9,13,16,21,23,111,10,69,1097,4312
충청남도 보령시,8,9,8,9,15,15,21,22,115,7,66,1000,4472
충청남도 아산시,11,15,12,12,16,22,26,28,390,23,92,5317,22616
충청남도 서산시,11,14,10,10,15,21,25,24,209,21,77,1900,10336
충청남도 논산시,7,10,7,8,11,16,20,20,102,17,71,627,5374
충청남도 계룡시,10,15,13,11,16,23,28,24,48,3,112,704,2949
충청남도 당진시,10,14,10,10,16,21,25,23,190,19,72,1439,10530
충청남도 금산군,5,8,8,7,10,13,21,20,34,3,113,287,2110
충청남도 부여군,6,6,6,8,11,11,19,21,46,5,88,484,2225
충청남도 서천군,4,7,7,7,8,11,20,19,44,5,64,192,1735
충청남도 청양군,5,6,6,7,8,10,16,18,13,1,152,187,957
충청남도 홍성군,10,12,10,9,16,19,24,23,122,22,76,1422,5628
충청남도 예산군,6,8,9,8,10,13,22,19,67,8,72,505,2855
충청남도 태안군,6,7,7,7,10,12,19,19,49,2,85,345,2285
충청북도  청주시,10,14,12,11,15,22,26,26,2026,206,40,8790,50284
충청북도  충주시,10,12,10,9,16,18,23,22,2026,206,7,2313,10311
충청북도  제천시,10,11,9,10,15,18,21,23,2026,206,5,1623,6228
충청북도  보은군,6,5,5,6,10,9,16,23,2026,206,0,250,1067
충청북도  옥천군,8,8,7,9,13,14,19,22,2026,206,1,467,2046
충청북도  영동군,6,7,7,8,11,12,16,22,2026,206,1,301,1623
충청북도  증평군,8,14,10,8,14,22,22,22,2026,206,1,253,2121
충청북도  진천군,10,12,9,9,12,19,22,22,2026,206,4,873,5170
충청북도  괴산군,8,5,4,7,9,9,13,22,2026,206,0,189,1007
충청북도  음성군,8,10,8,10,12,17,19,22,2026,206,3,895,4353
충청북도  단양군,3,5,5,10,6,10,16,22,2026,206,1,95,925
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0
전북특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0
제주특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0
