"행정구역(일반구)별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(일반구)별",총인구 (명),총면적 (㎢),하수처리구역 내  공공하수처리시설 처리인구 (명),하수처리구역 내 1차 공공하수처리시설 처리인구(b1) (명),하수처리구역 내 2차 공공하수처리시설 처리인구(b2) (명),하수처리구역 내 3차 공공하수처리시설 처리인구(b3) (명),하수처리구역 내 폐수 종말처리인구 (명),하수처리구역 내 1차 폐수 종말처리인구(b1) (명),하수처리구역 내 2차 폐수 종말처리인구(b2) (명),하수처리구역 내 3차 폐수 종말처리인구(b3) (명),하수처리구역 내 총면적 (㎢),하수처리구역 외 인구 (명),하수처리구역 외 시가인구 (명),하수처리구역 외 비시가인구 (명),하수처리구역 외 총면적 (㎢),하수도 보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내  공공하수처리시설 처리인구 (명),하수처리구역 내 1차 공공하수처리시설 처리인구(b1) (명),하수처리구역 내 2차 공공하수처리시설 처리인구(b2) (명),하수처리구역 내 3차 공공하수처리시설 처리인구(b3) (명),하수처리구역 내 폐수 종말처리인구 (명),하수처리구역 내 1차 폐수 종말처리인구(b1) (명),하수처리구역 내 2차 폐수 종말처리인구(b2) (명),하수처리구역 내 3차 폐수 종말처리인구(b3) (명),하수처리구역 내 총면적 (㎢),하수처리구역 외 인구 (명),하수처리구역 외 시가인구 (명),하수처리구역 외 비시가인구 (명),하수처리구역 외 총면적 (㎢),하수도 보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내  공공하수처리시설 처리인구 (명),하수처리구역 내 1차 공공하수처리시설 처리인구(b1) (명),하수처리구역 내 2차 공공하수처리시설 처리인구(b2) (명),하수처리구역 내 3차 공공하수처리시설 처리인구(b3) (명),하수처리구역 내 폐수 종말처리인구 (명),하수처리구역 내 1차 폐수 종말처리인구(b1) (명),하수처리구역 내 2차 폐수 종말처리인구(b2) (명),하수처리구역 내 3차 폐수 종말처리인구(b3) (명),하수처리구역 내 총면적 (㎢),하수처리구역 외 인구 (명),하수처리구역 외 시가인구 (명),하수처리구역 외 비시가인구 (명),하수처리구역 외 총면적 (㎢),하수도 보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내  공공하수처리시설 처리인구 (명),하수처리구역 내 1차 공공하수처리시설 처리인구(b1) (명),하수처리구역 내 2차 공공하수처리시설 처리인구(b2) (명),하수처리구역 내 3차 공공하수처리시설 처리인구(b3) (명),하수처리구역 내 폐수 종말처리인구 (명),하수처리구역 내 1차 폐수 종말처리인구(b1) (명),하수처리구역 내 2차 폐수 종말처리인구(b2) (명),하수처리구역 내 3차 폐수 종말처리인구(b3) (명),하수처리구역 내 총면적 (㎢),하수처리구역 외 인구 (명),하수처리구역 외 시가인구 (명),하수처리구역 외 비시가인구 (명),하수처리구역 외 총면적 (㎢),하수도 보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내  공공하수처리시설 처리인구 (명),하수처리구역 내 3차 공공하수처리시설 처리인구(b3) (명),하수처리구역 내 폐수 종말처리인구 (명),하수처리구역 내 2차 폐수 종말처리인구(b2) (명),하수처리구역 내 총면적 (㎢),하수처리구역 외 인구 (명),하수처리구역 외 시가인구 (명),하수처리구역 외 비시가인구 (명),하수처리구역 외 총면적 (㎢),하수도 보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내  공공하수처리시설 처리인구 (명),하수처리구역 내 1차 공공하수처리시설 처리인구(b1) (명),하수처리구역 내 2차 공공하수처리시설 처리인구(b2) (명),하수처리구역 내 3차 공공하수처리시설 처리인구(b3) (명),하수처리구역 내 폐수 종말처리인구 (명),하수처리구역 내 1차 폐수 종말처리인구(b1) (명),하수처리구역 내 2차 폐수 종말처리인구(b2) (명),하수처리구역 내 3차 폐수 종말처리인구(b3) (명),하수처리구역 내 총면적 (㎢),하수처리구역 외 인구 (명),하수처리구역 외 시가인구 (명),하수처리구역 외 비시가인구 (명),하수처리구역 외 총면적 (㎢),하수도 보급률 (%)
"합계",1535191,540,1451202,-,-,1451202,44532,-,44532,-,126.92,39457,3790,35667,413.10,97.43,1531405,540,1478122,-,-,1478122,16640,-,16640,-,126.92,36643,636,36007,413.10,97.61,1519658,540,1475368,-,-,1475368,7148,-,7148,-,126.92,37142,640,36502,413.10,97.56,1508120,540,1467722,-,-,1467722,7148,-,7148,-,126.92,33250,640,32610,413.10,97.80,1493979,540,1454432,1454432,6784,6784,126.92,32763,607,32156,413.08,97.80,1480777,540,1440103,-,-,1440103,11453,-,6749,4704,127.00,29221,603,28618,412.00,98.00
"동구",243149,137,240241,-,-,240241,-,-,-,-,19.00,2908,-,2908,118.00,98.80,238833,137,236861,-,-,236861,-,-,-,-,19.00,1972,-,1972,118.00,99.17,234726,137,232924,-,-,232924,-,-,-,-,19.00,1802,-,1802,118.00,99.20,233789,137,231987,-,-,231987,-,-,-,-,19.00,1802,-,1802,118.00,99.23,232012,137,230155,230155,-,-,19.00,1857,-,1857,118.00,99.20,227426,137,225569,-,-,225569,-,-,-,-,19.00,1857,-,1857,118.00,99.20
"중구",257880,62,256415,-,-,256415,-,-,-,-,16.46,1465,-,1465,45.70,99.43,254052,62,252645,-,-,252645,-,-,-,-,16.46,1407,-,1407,45.67,99.45,250433,62,249026,-,-,249026,-,-,-,-,16.46,1407,-,1407,45.67,99.40,245964,62,244557,-,-,244557,-,-,-,-,16.46,1407,-,1407,45.67,99.43,242006,62,240599,240599,-,-,16.46,1407,-,1407,45.54,99.40,237000,62,235622,-,-,235622,-,-,-,-,16.00,1378,-,1378,46.00,99.40
"서구",494166,95,492687,-,-,492687,-,-,-,-,28.00,1479,-,1479,67.00,99.70,494379,95,491004,-,-,491004,-,-,-,-,28.00,3375,-,3375,67.00,99.32,490775,95,486741,-,-,486741,-,-,-,-,28.00,4034,-,4034,67.00,99.20,488118,95,484741,-,-,484741,-,-,-,-,28.00,3377,-,3377,67.00,99.31,485026,95,481683,481683,-,-,28.00,3343,-,3343,67.00,99.30,481107,95,477791,-,-,477791,-,-,-,-,28.00,3316,-,3316,67.00,99.30
"유성구",340901,177,311920,-,-,311920,-,-,-,-,40.17,28981,-,28981,137.00,91.50,349107,177,320016,-,-,320016,-,-,-,-,40.17,29091,-,29091,137.06,91.67,354519,177,325428,-,-,325428,-,-,-,-,40.17,29091,-,29091,137.06,91.80,355983,177,330127,-,-,330127,-,-,-,-,40.17,25856,-,25856,137.06,92.74,355516,177,330127,330127,-,-,40.17,25389,-,25389,136.83,92.90,356738,177,330127,-,-,330127,4704,-,-,4704,40.00,21907,-,21907,136.00,93.90
"대덕구",199095,69,149939,-,-,149939,44532,-,44532,-,23.29,4624,3790,834,45.40,97.68,195034,69,177596,-,-,177596,16640,-,16640,-,23.29,798,636,162,45.37,99.59,189205,69,181249,-,-,181249,7148,-,7148,-,23.29,808,640,168,45.37,99.60,184266,69,176310,-,-,176310,7148,-,7148,-,23.29,808,640,168,45.37,99.56,179419,69,171868,171868,6784,6784,23.29,767,607,160,45.71,99.60,178506,69,170994,-,-,170994,6749,-,6749,-,23.00,763,603,160,45.00,99.60
